pitch_cur,pitch_gyro,pitch_rel,pitch_rel_set
-3529,0.0,-0.263,-0.174
-3556,0.0,-0.263,-0.174
-3470,0.0,-0.263,-0.174
-3328,0.0,-0.263,-0.174
-3186,0.0,-0.263,-0.174
-3044,0.0,-0.263,-0.174
-2894,0.0,-0.263,-0.174
-2709,0.0,-0.263,-0.174
-2494,0.0,-0.262,-0.174
-2242,0.0,-0.262,-0.174
-1960,0.0,-0.261,-0.174
-1639,0.0,-0.261,-0.174
-1290,0.0,-0.26,-0.174
-902,0.0,-0.26,-0.174
-480,0.0,-0.26,-0.174
-115,0.104,-0.26,-0.174
445,0.0,-0.259,-0.174
744,0.209,-0.256,-0.174
1130,0.314,-0.252,-0.174
1602,0.314,-0.246,-0.174
1859,0.523,-0.237,-0.174
2335,0.418,-0.23,-0.174
2684,0.418,-0.223,-0.174
2910,0.523,-0.214,-0.174
3098,0.628,-0.203,-0.174
3143,0.837,-0.189,-0.174
3208,0.942,-0.172,-0.174
3199,1.047,-0.153,-0.174
2998,1.256,-0.131,-0.174
2746,1.361,-0.105,-0.174
2557,1.256,-0.08,-0.174
2174,1.256,-0.055,-0.174
1700,1.256,-0.031,-0.174
1206,1.151,-0.009,-0.174
726,0.942,0.008,-0.174
479,0.418,0.019,-0.174
50,0.104,0.026,-0.174
-525,0.0,0.025,-0.174
-1042,-0.209,0.02,-0.174
-1572,-0.418,0.013,-0.174
-2169,-0.523,0.001,-0.174
-2639,-0.628,-0.011,-0.174
-2925,-0.733,-0.026,-0.174
-3165,-0.837,-0.044,-0.174
-3245,-1.047,-0.065,-0.174
-3230,-1.256,-0.092,-0.174
-3030,-1.57,-0.121,-0.174
-3007,-1.57,-0.154,-0.174
-2853,-1.675,-0.186,-0.174
-2957,-1.361,-0.217,-0.174
-2768,-1.256,-0.249,-0.174
-3750,0.0,-0.258,-0.174
-3782,0.0,-0.258,-0.174
-3648,0.0,-0.258,-0.174
-3514,0.0,-0.258,-0.174
-3380,0.0,-0.258,-0.174
-3246,0.0,-0.258,-0.174
-3112,0.0,-0.258,-0.174
-2978,0.0,-0.258,-0.174
-2826,0.0,-0.257,-0.174
-2638,0.0,-0.257,-0.174
-2422,0.0,-0.256,-0.174
-2170,0.0,-0.256,-0.174
-1891,0.0,-0.256,-0.174
-1576,0.0,-0.256,-0.174
-1234,0.0,-0.255,-0.174
-856,0.0,-0.255,-0.174
-445,0.0,-0.255,-0.174
-7,0.0,-0.254,-0.174
447,0.0,-0.253,-0.174
545,0.418,-0.248,-0.174
1126,0.209,-0.243,-0.174
1407,0.418,-0.238,-0.174
1941,0.314,-0.233,-0.174
2498,0.209,-0.23,-0.174
2710,0.418,-0.223,-0.174
2854,0.628,-0.214,-0.174
3012,0.733,-0.2,-0.174
3226,0.733,-0.187,-0.174
3109,1.047,-0.169,-0.174
3066,1.151,-0.148,-0.174
2924,1.256,-0.126,-0.174
2859,1.151,-0.103,-0.174
2609,1.151,-0.08,-0.174
2177,1.256,-0.057,-0.174
1815,1.151,-0.035,-0.174
1447,0.942,-0.015,-0.174
924,0.837,0.001,-0.174
544,0.523,0.012,-0.174
154,0.209,0.017,-0.174
-311,0.0,0.017,-0.174
-812,-0.209,0.013,-0.174
-1407,-0.314,0.007,-0.174
-1797,-0.628,-0.005,-0.174
-2414,-0.628,-0.016,-0.174
-2812,-0.628,-0.03,-0.174
-2976,-0.837,-0.047,-0.174
-3057,-1.047,-0.068,-0.174
-2971,-1.361,-0.092,-0.174
-2954,-1.466,-0.121,-0.174
-2858,-1.57,-0.154,-0.174
-2696,-1.675,-0.187,-0.174
-2400,-1.78,-0.223,-0.174
-2631,-1.151,-0.253,-0.174
-3404,-0.104,-0.263,-0.174
-3547,0.0,-0.263,-0.174
-3566,0.0,-0.263,-0.174
-3452,0.0,-0.263,-0.174
-3311,0.0,-0.263,-0.174
-3169,0.0,-0.263,-0.174
-3027,0.0,-0.263,-0.174
-2874,0.0,-0.263,-0.174
-2689,0.0,-0.262,-0.174
-2467,0.0,-0.262,-0.174
-2215,0.0,-0.261,-0.174
-1929,0.0,-0.26,-0.174
-1607,0.0,-0.26,-0.174
-1251,0.0,-0.26,-0.174
-860,0.0,-0.26,-0.174
-435,0.0,-0.26,-0.174
19,0.0,-0.26,-0.174
410,0.104,-0.258,-0.174
796,0.209,-0.255,-0.174
1275,0.209,-0.251,-0.174
1485,0.523,-0.244,-0.174
1892,0.523,-0.235,-0.174
2465,0.314,-0.228,-0.174
2728,0.418,-0.221,-0.174
2940,0.523,-0.211,-0.174
3031,0.733,-0.199,-0.174
3149,0.837,-0.185,-0.174
3200,0.942,-0.167,-0.174
3175,1.047,-0.148,-0.174
2946,1.256,-0.125,-0.174
2757,1.256,-0.1,-0.174
2379,1.361,-0.075,-0.174
2062,1.256,-0.05,-0.174
1659,1.151,-0.027,-0.174
1074,1.151,-0.006,-0.174
756,0.733,0.01,-0.174
345,0.418,0.021,-0.174
-165,0.209,0.025,-0.174
-662,0.0,0.023,-0.174
-1183,-0.209,0.019,-0.174
-1707,-0.418,0.01,-0.174
-2311,-0.523,0.0,-0.174
-2638,-0.733,-0.015,-0.174
-3012,-0.733,-0.029,-0.174
