event_bits,evt_cmd_reverse_trigger,evt_fn2_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0.0,1,3,2,63383,0,1267703,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63384,0,1267723,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63385,0,1267743,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63386,0,1267763,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63387,0,1267783,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63388,0,1267803,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63389,0,1267823,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63390,0,1267843,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63391,0,1267863,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63392,0,1267883,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63393,0,1267903,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63394,0,1267923,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63395,0,1267943,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63396,0,1267963,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63397,0,1267983,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63398,0,1268003,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63399,0,1268023,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63400,0,1268043,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63401,0,1268063,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63402,0,1268083,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63403,0,1268103,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63404,0,1268123,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63405,0,1268143,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63406,0,1268163,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63407,0,1268183,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63408,0,1268203,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63409,0,1268223,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63410,0,1268243,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63411,0,1268263,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63412,0,1268283,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63413,0,1268303,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63414,0,1268323,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63415,0,1268343,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63416,0,1268363,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63417,0,1268383,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63418,0,1268403,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63419,0,1268423,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63420,0,1268443,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63421,0,1268463,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63422,0,1268483,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63423,0,1268503,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63424,0,1268523,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63425,0,1268543,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63426,0,1268563,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63427,0,1268583,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63428,0,1268603,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63429,0,1268623,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63430,0,1268643,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63431,0,1268663,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63432,0,1268683,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63433,0,1268703,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63434,0,1268723,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63435,0,1268743,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63436,0,1268763,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63437,0,1268783,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63438,0,1268803,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63439,0,1268823,0,0.0,0
