ff_b_hat,pitch_cur,pitch_rel,pitch_rel_set,rc_ch3
484,-1301,-0.182,-0.196,342
474,-1429,-0.182,-0.196,253
464,-1523,-0.182,-0.196,165
454,-1605,-0.182,-0.196,10
444,-1675,-0.182,-0.195,-32
434,-1704,-0.182,-0.193,-176
424,-1679,-0.182,-0.189,-245
414,-1596,-0.182,-0.183,-369
404,-1445,-0.182,-0.175,-418
394,-1230,-0.182,-0.167,-457
384,-951,-0.182,-0.157,-513
374,-612,-0.182,-0.146,-533
364,-212,-0.182,-0.135,-559
354,168,-0.181,-0.124,-567
354,506,-0.177,-0.113,-580
364,1063,-0.175,-0.101,-584
374,1638,-0.174,-0.089,-587
384,2061,-0.168,-0.077,-589
394,2573,-0.163,-0.066,-588
404,3042,-0.156,-0.054,-588
414,3483,-0.148,-0.042,-588
418,3695,-0.134,-0.03,-585
418,3771,-0.116,-0.019,-583
418,3689,-0.095,-0.007,-581
418,3514,-0.071,0.004,-578
418,3259,-0.046,0.015,-577
418,2946,-0.019,0.027,-577
418,2551,0.006,0.038,-576
418,2217,0.031,0.05,-576
418,1830,0.055,0.061,-575
418,1401,0.078,0.073,-575
418,1099,0.097,0.084,-573
418,982,0.111,0.096,-572
418,851,0.123,0.107,-568
418,734,0.134,0.118,-566
424,696,0.142,0.13,-558
434,761,0.148,0.141,-553
444,923,0.152,0.152,-547
454,1222,0.153,0.162,-516
464,1496,0.154,0.172,-491
474,1818,0.154,0.181,-398
484,2091,0.154,0.189,-330
494,2219,0.156,0.189,-157
504,2336,0.158,0.189,-82
514,2411,0.16,0.189,-5
524,2454,0.162,0.188,124
534,2487,0.164,0.185,204
544,2480,0.164,0.179,354
554,2374,0.165,0.172,424
564,2217,0.165,0.162,550
574,2009,0.164,0.151,598
584,1680,0.164,0.138,631
594,1323,0.164,0.125,660
604,889,0.163,0.112,660
605,382,0.162,0.099,660
595,-155,0.161,0.086,660
585,-636,0.157,0.072,660
575,-1115,0.151,0.059,660
565,-1703,0.147,0.046,660
555,-2183,0.139,0.033,660
545,-2686,0.131,0.02,660
535,-3155,0.121,0.006,660
534,-3426,0.106,-0.006,660
534,-3595,0.088,-0.019,660
534,-3521,0.065,-0.032,660
534,-3150,0.039,-0.045,660
534,-2816,0.013,-0.059,660
534,-2385,-0.016,-0.072,660
534,-2007,-0.046,-0.085,660
534,-1668,-0.072,-0.098,660
534,-1323,-0.098,-0.111,660
534,-1207,-0.117,-0.124,636
534,-943,-0.136,-0.137,600
534,-742,-0.152,-0.147,487
534,-631,-0.164,-0.156,407
534,-574,-0.173,-0.163,211
524,-527,-0.178,-0.166,119
514,-519,-0.181,-0.167,-28
504,-480,-0.181,-0.166,-116
494,-422,-0.181,-0.162,-199
484,-260,-0.18,-0.157,-346
474,17,-0.18,-0.149,-402
464,273,-0.178,-0.14,-485
460,579,-0.176,-0.13,-515
470,1029,-0.175,-0.119,-556
480,1532,-0.174,-0.108,-569
490,1889,-0.17,-0.097,-579
500,2333,-0.165,-0.085,-590
510,2754,-0.159,-0.073,-593
520,3144,-0.151,-0.061,-596
530,3380,-0.14,-0.049,-596
530,3529,-0.125,-0.037,-596
530,3522,-0.107,-0.025,-596
530,3429,-0.086,-0.014,-596
530,3273,-0.064,-0.002,-592
530,3023,-0.04,0.009,-589
530,2712,-0.016,0.021,-585
530,2365,0.008,0.033,-583
530,2036,0.031,0.044,-579
530,1708,0.052,0.056,-579
530,1384,0.072,0.067,-577
530,1114,0.09,0.079,-577
530,967,0.104,0.09,-576
530,902,0.115,0.102,-576
531,904,0.123,0.113,-576
541,914,0.131,0.125,-580
551,1076,0.135,0.137,-584
561,1261,0.139,0.148,-588
571,1546,0.141,0.16,-594
581,1813,0.144,0.172,-597
591,2036,0.149,0.184,-602
601,2178,0.154,0.189,-604
611,2174,0.159,0.189,-606
621,2195,0.164,0.189,-605
631,2267,0.167,0.189,-605
641,2422,0.167,0.189,-602
651,2570,0.167,0.189,-601
661,2697,0.167,0.189,-597
671,2816,0.167,0.189,-596
681,2896,0.168,0.189,-599
691,3016,0.168,0.189,-603
701,3092,0.169,0.189,-609
711,3211,0.169,0.189,-626
721,3285,0.17,0.189,-646
731,3399,0.17,0.189,-660
741,3469,0.171,0.189,-660
