rc_ch0,rc_ch1,rc_ch2,rc_ch3,rc_s0,vt03_toe
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,22,0,3,0
0,0,90,0,3,0
0,0,90,0,3,0
0,0,226,0,3,0
0,0,361,0,3,0
0,0,361,0,3,0
0,0,568,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,655,0,3,0
0,0,654,0,3,0
0,0,652,0,3,0
0,0,652,0,3,0
0,0,652,0,3,0
0,0,652,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,570,0,3,0
0,0,402,0,3,0
0,0,164,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,-139,0,3,0
0,0,-284,0,3,0
0,0,-339,0,3,0
0,0,-470,0,3,0
0,0,-529,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
