event_bits,evt_cmd_shoot_toggle,evt_fn1_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,447100.0,0,3,2,51190,1,1023843,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51191,1,1023863,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51192,1,1023883,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51193,1,1023903,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51194,1,1023923,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51195,1,1023943,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51196,1,1023963,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51197,1,1023983,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51198,1,1024003,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51199,1,1024023,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51200,1,1024043,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51201,1,1024063,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51202,1,1024083,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51203,1,1024103,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51204,1,1024123,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51205,1,1024143,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51206,1,1024163,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51207,1,1024183,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51208,1,1024203,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51209,1,1024223,0,0.0,0
