bullet_cnt,fric1_rpm,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
22,4875,2,0,1134857,1134857,0.0
22,4888,2,0,1134857,1134857,0.0
22,4877,2,0,1134857,1134857,0.0
22,4913,2,0,1134857,1134857,0.0
22,4846,2,0,1134857,1134857,0.0
22,4892,2,0,1134857,1134857,0.0
22,4873,2,0,1134857,1134857,0.0
22,4877,2,0,1134857,1134857,0.0
22,4926,2,0,1134857,1134857,0.0
22,4859,2,0,1134857,1134857,0.0
22,4888,2,0,1134857,1134857,0.0
22,4879,2,0,1134857,1134857,0.0
22,4865,2,0,1134857,1134857,0.0
22,4934,2,0,1134857,1134857,0.0
22,4869,2,0,1134857,1134857,0.0
22,4844,2,0,1134857,1134857,0.0
22,4890,2,0,1134857,1134857,0.0
22,4875,2,0,1134857,1134857,0.0
22,4879,2,0,1134857,1134857,0.0
22,4928,2,0,1134857,1134857,0.0
22,4861,2,0,1134857,1134857,0.0
22,4888,2,0,1134857,1134857,0.0
22,4882,2,0,1134857,1134857,0.0
22,4865,2,0,1134857,1134857,0.0
22,4932,2,0,1134857,1134857,0.0
22,4867,2,0,1134857,1134857,0.0
22,4896,2,0,1134857,1134857,0.0
22,4886,2,0,1134857,1134857,0.0
22,4846,2,0,1134857,1134857,0.0
22,4877,2,0,1134857,1134857,0.0
22,4926,4,10000,1135340,1171721,0.326
22,4859,4,10000,1145056,1171721,10.821
22,4879,4,10000,1165745,1171721,22.499
23,4892,6,-10000,1193509,1171721,30.591
23,4861,6,-10000,1208240,1171721,14.794
23,4932,2,0,1205892,1205892,-3.606
23,4869,2,0,1199032,1199032,-7.2
23,4892,2,0,1194018,1194018,-5.257
23,4890,2,0,1190503,1190503,-3.609
23,4846,2,0,1188031,1188031,-2.553
23,4909,2,0,1186406,1186406,-1.7
23,4856,2,0,1185533,1185533,-0.863
23,4882,2,0,1185396,1185396,-0.074
23,4900,2,0,1185430,1185430,0.036
23,4890,2,0,1185431,1185431,-0.002
23,4863,2,0,1185437,1185437,0.002
23,4932,2,0,1185441,1185441,0.003
23,4869,2,0,1185446,1185446,0.0
23,4890,2,0,1185454,1185454,0.007
