bullet_cnt,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd,trigger_spd_set
0,0.0,2,890,634036,634036,5.289,5.0
0,0.0,2,878,640553,640553,5.041,5.0
0,0.0,2,875,646916,646916,5.038,5.0
0,0.0,2,872,653331,653331,5.066,5.0
0,0.0,2,869,659725,659725,5.044,5.0
0,0.0,2,863,674591,674591,5.032,5.0
0,0.0,2,866,672493,672493,4.901,5.0
0,0.0,2,876,678860,678860,4.864,5.0
0,0.0,2,892,684962,684962,4.806,5.0
0,0.0,2,906,683130,683130,4.817,5.0
0,0.0,2,920,689267,689267,4.831,5.0
0,0.0,2,930,695562,695562,4.947,5.0
0,0.0,2,938,701712,701712,4.855,5.0
0,0.0,2,948,707913,707913,4.893,5.0
0,0.0,2,958,714341,714341,4.891,5.0
0,0.0,2,958,720995,720995,5.008,5.0
0,0.0,2,950,727815,727815,5.171,5.0
0,0.0,2,934,734649,734649,5.237,5.0
0,0.0,2,914,741541,741541,5.205,5.0
0,0.0,2,900,748554,748554,5.098,5.0
0,0.0,2,899,755141,755141,4.949,5.0
0,0.0,2,899,761788,761788,5.012,5.0
0,0.0,2,896,768394,768394,5.073,5.0
0,0.0,2,887,774950,774950,5.189,5.0
0,0.0,2,865,781951,781951,5.33,5.0
0,0.0,2,834,788811,788811,5.371,5.0
0,0.0,2,802,795709,795709,5.407,5.0
0,0.0,2,768,802562,802562,5.442,5.0
0,0.0,2,730,809483,809483,5.439,5.0
0,0.0,2,705,816196,816196,5.287,5.0
0,0.0,2,692,822960,822960,5.064,5.0
0,0.0,2,688,829411,829411,5.045,5.0
0,0.0,2,680,835829,835829,5.12,5.0
0,0.0,2,669,842123,842123,5.157,5.0
0,0.0,2,661,848856,848856,5.113,5.0
0,0.0,2,658,855248,855248,4.952,5.0
0,0.0,5,1060,861514,857574,4.915,15.0
0,0.0,5,1057,868502,857574,5.422,15.0
0,0.0,5,1054,876092,857574,5.865,15.0
0,0.0,5,1052,884269,857574,6.279,15.0
1,10.0,5,1049,901213,857574,6.708,15.0
1,9.651,5,1047,911056,857574,7.017,15.0
1,9.303,5,1046,920832,857574,7.232,15.0
1,8.967,5,1045,930543,857574,7.371,15.0
2,18.632,5,1045,940321,857574,7.496,15.0
2,18.296,5,1043,950966,857574,7.81,15.0
