ch_mode,evt_chassis_mode_changed,key_v,wz_set
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
0,0,0,1.435
2,1,32,4.5
2,0,32,4.5
2,0,32,4.5
2,0,32,4.5
2,0,32,4.5
2,0,32,4.5
2,0,32,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
0,1,32,1.582
0,0,32,1.582
0,0,32,1.589
0,0,32,1.601
0,0,32,1.595
0,0,32,1.601
0,0,0,1.601
0,0,0,1.601
0,0,0,1.601
0,0,0,1.601
0,0,0,1.601
0,0,0,1.601
0,0,0,1.601
0,0,0,1.601
0,0,0,1.601
0,0,0,1.601
0,0,0,1.595
0,0,0,1.601
0,0,0,1.595
0,0,0,1.595
0,0,0,1.595
0,0,0,1.595
0,0,0,1.595
0,0,0,1.595
0,0,0,1.595
0,0,0,1.595
0,0,0,1.595
0,0,0,1.589
0,0,0,1.595
0,0,0,1.589
0,0,0,1.589
0,0,0,1.589
0,0,0,1.589
0,0,0,1.589
0,0,0,1.589
2,1,32,4.5
2,0,32,4.5
2,0,32,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
0,1,32,1.57
0,0,32,1.558
0,0,32,1.558
0,0,32,1.558
0,0,32,1.558
0,0,0,1.558
0,0,0,1.552
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.558
0,0,0,1.564
0,0,0,1.558
0,0,0,1.558
0,0,0,1.564
2,1,32,4.5
2,0,32,4.5
2,0,32,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
2,0,0,4.5
