evt_cmd_shoot_toggle,evt_fn1_cur,fric1_rpm,fric2_rpm,fric_set,high_freq,shoot_mode
0,0,4907,-4922,4900.0,0,2
0,0,4873,-4872,4900.0,0,2
0,0,4859,-4889,4900.0,0,2
0,0,4900,-4922,4900.0,0,2
0,0,4869,-4845,4900.0,0,2
0,0,4894,-4910,4900.0,0,2
0,0,4882,-4876,4900.0,0,2
0,0,4873,-4885,4900.0,0,2
0,0,4907,-4916,4900.0,0,2
0,0,4873,-4849,4900.0,0,2
0,0,4867,-4891,4900.0,0,2
0,0,4905,-4887,4900.0,0,2
0,0,4873,-4895,4900.0,0,2
0,0,4856,-4883,4900.0,0,2
0,0,4903,-4927,4900.0,0,2
0,0,4865,-4843,4900.0,0,2
0,0,4896,-4904,4900.0,0,2
0,0,4886,-4901,4900.0,0,2
0,0,4869,-4876,4900.0,0,2
0,0,4911,-4920,4900.0,0,2
0,0,4871,-4860,4900.0,0,2
0,0,4905,-4891,4900.0,0,2
0,0,4873,-4912,4900.0,0,2
0,0,4892,-4857,4900.0,0,2
0,0,4905,-4910,4900.0,0,2
0,0,4905,-4864,4900.0,0,2
0,0,4865,-4883,4900.0,0,2
0,0,4890,-4901,4900.0,0,2
0,0,4888,-4920,4900.0,0,2
0,0,4867,-4853,4900.0,0,2
0,0,4913,-4916,4900.0,0,2
0,0,4871,-4885,4900.0,0,2
0,0,4903,-4893,4900.0,0,2
0,0,4875,-4929,4900.0,0,2
0,0,4890,-4841,4900.0,0,2
0,0,4905,-4908,4900.0,0,2
0,0,4882,-4887,4900.0,0,2
0,0,4905,-4883,4900.0,0,2
0,0,4854,-4918,4900.0,0,2
