pitch_cur,pitch_rel,pitch_rel_set
-412,0.153,0.152
-410,0.153,0.152
-413,0.153,0.152
-414,0.153,0.152
-414,0.153,0.152
-366,0.152,0.152
-365,0.152,0.152
-367,0.152,0.152
-413,0.153,0.152
-413,0.153,0.152
-366,0.152,0.152
-412,0.153,0.152
-412,0.153,0.152
-414,0.153,0.152
-366,0.152,0.152
-413,0.153,0.152
-366,0.152,0.152
-415,0.153,0.152
-410,0.153,0.152
-412,0.153,0.152
-364,0.152,0.152
-368,0.152,0.152
-363,0.152,0.152
-410,0.153,0.152
-409,0.153,0.152
-363,0.152,0.152
-364,0.152,0.152
-411,0.153,0.152
-361,0.152,0.152
-360,0.152,0.152
-359,0.152,0.152
-360,0.152,0.152
-359,0.152,0.152
-363,0.152,0.152
-407,0.153,0.152
-407,0.153,0.152
-360,0.152,0.152
-360,0.152,0.152
-361,0.152,0.152
-405,0.153,0.152
-358,0.152,0.152
-360,0.152,0.152
-406,0.153,0.152
-362,0.152,0.152
-405,0.153,0.152
-360,0.152,0.152
-408,0.153,0.152
-360,0.152,0.152
-359,0.152,0.152
-359,0.152,0.152
-407,0.153,0.152
-360,0.152,0.152
-408,0.153,0.152
-359,0.152,0.152
-362,0.152,0.152
-404,0.153,0.152
-405,0.153,0.152
-405,0.153,0.152
-358,0.152,0.152
-403,0.153,0.152
-404,0.153,0.152
-406,0.153,0.152
-405,0.153,0.152
-404,0.153,0.152
-361,0.152,0.152
-408,0.153,0.152
-362,0.152,0.152
-361,0.152,0.152
-362,0.152,0.152
-408,0.153,0.152
-359,0.152,0.152
-361,0.152,0.152
-360,0.152,0.152
-406,0.153,0.152
-359,0.152,0.152
-360,0.152,0.152
-408,0.153,0.152
-359,0.152,0.152
-362,0.152,0.152
-406,0.153,0.152
-360,0.152,0.152
-363,0.152,0.152
-362,0.152,0.152
-363,0.152,0.152
-362,0.152,0.152
-408,0.153,0.152
-361,0.152,0.152
-408,0.153,0.152
-360,0.152,0.152
-410,0.153,0.152
-361,0.152,0.152
-360,0.152,0.152
-407,0.153,0.152
-404,0.153,0.152
-360,0.152,0.152
-359,0.152,0.152
-408,0.153,0.152
-407,0.153,0.152
-361,0.152,0.152
-363,0.152,0.152
-362,0.152,0.152
-364,0.152,0.152
-361,0.152,0.152
-363,0.152,0.152
-408,0.153,0.152
-361,0.152,0.152
-362,0.152,0.152
-364,0.152,0.152
-363,0.152,0.152
-409,0.153,0.152
-411,0.153,0.152
-365,0.152,0.152
-411,0.153,0.152
-410,0.153,0.152
-362,0.152,0.152
-365,0.152,0.152
-412,0.153,0.152
-407,0.153,0.152
-365,0.152,0.152
-408,0.153,0.152
-409,0.153,0.152
-366,0.152,0.152
-366,0.152,0.152
-410,0.153,0.152
-409,0.153,0.152
-365,0.152,0.152
-365,0.152,0.152
-411,0.153,0.152
-413,0.153,0.152
-409,0.153,0.152
-409,0.153,0.152
-364,0.152,0.152
-364,0.152,0.152
-363,0.152,0.152
-408,0.153,0.152
-367,0.152,0.152
-365,0.152,0.152
-364,0.152,0.152
-363,0.152,0.152
-413,0.153,0.152
-414,0.153,0.152
-416,0.153,0.152
-368,0.152,0.152
-366,0.152,0.152
-366,0.152,0.152
-408,0.153,0.152
-409,0.153,0.152
-408,0.153,0.152
-408,0.153,0.152
