bullet_cnt,fric1_rpm,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
43,4911,0.0,2,0,3930782,3930782,0.0
43,4844,0.0,2,0,3930782,3930782,0.0
43,4882,0.0,2,0,3930782,3930782,0.0
43,4879,0.0,2,0,3930782,3930782,0.0
43,4877,0.0,2,0,3930782,3930782,0.0
43,4926,0.0,2,0,3930782,3930782,0.0
43,4863,0.0,2,0,3930782,3930782,0.0
43,4886,0.0,2,0,3930782,3930782,0.0
43,4888,0.0,2,0,3930782,3930782,0.0
43,4896,0.0,2,0,3930782,3930782,0.0
43,4882,0.0,2,0,3930782,3930782,0.0
43,4913,0.0,2,0,3930782,3930782,0.0
43,4848,0.0,2,0,3930782,3930782,0.0
43,4886,0.0,2,0,3930782,3930782,0.0
43,4879,0.0,2,0,3930782,3930782,0.0
43,4875,0.0,2,0,3930782,3930782,0.0
43,4926,0.0,2,0,3930782,3930782,0.0
43,4867,0.0,2,0,3930782,3930782,0.0
43,4886,0.0,2,0,3930782,3930782,0.0
43,4888,0.0,2,0,3930782,3930782,0.0
43,4861,0.0,2,0,3930782,3930782,0.0
43,4930,0.0,2,0,3930782,3930782,0.0
43,4871,0.0,2,0,3930782,3930782,0.0
43,4894,0.0,2,0,3930782,3930782,0.0
43,4892,0.0,2,0,3930782,3930782,0.0
43,4879,0.0,2,0,3930782,3930782,0.0
43,4875,0.0,2,0,3930782,3930782,0.0
43,4926,0.0,2,0,3930782,3930782,0.0
43,4865,0.0,2,0,3930782,3930782,0.0
43,4884,0.0,2,0,3930782,3930782,0.0
43,4890,0.0,2,0,3930782,3930782,0.0
43,4861,0.0,2,0,3930782,3930782,0.0
43,4930,0.0,2,0,3930782,3930782,0.0
43,4869,0.0,2,0,3930782,3930782,0.0
43,4892,0.0,4,10000,3931817,3967646,1.032
43,4894,0.0,4,10000,3943089,3967646,13.035
44,4844,10.0,6,10000,3963694,3967646,22.669
44,4886,9.759,6,-3525,3988593,3967646,26.106
44,4794,9.519,6,-3679,4007524,3967646,19.955
44,4852,9.279,6,-2793,4018347,3967646,10.689
44,4593,9.039,6,-1562,4021409,3967646,2.81
44,4815,8.799,6,-999,4021309,3967646,-0.325
44,4865,8.559,6,-783,4020265,3967646,-1.17
44,4863,8.319,6,-547,4018538,3967646,-1.888
44,4894,8.079,6,-314,4016312,3967646,-2.401
44,4879,7.839,6,-130,4013935,3967646,-2.567
44,4873,7.599,6,-2,4011643,3967646,-2.444
44,4905,7.359,6,-151,4010499,3967646,-1.138
44,4877,7.119,6,-256,4010071,3967646,-0.402
44,4907,6.879,2,0,4010078,4010078,0.018
44,4869,6.639,2,0,4010088,4010088,0.009
44,4896,6.399,2,0,4010088,4010088,0.0
44,4900,6.159,2,0,4010094,4010094,0.004
44,4879,5.919,2,0,4010097,4010097,0.001
44,4911,5.679,2,0,4010102,4010102,0.001
44,4848,5.439,2,0,4010108,4010108,0.005
44,4882,5.199,2,0,4010110,4010110,0.001
44,4875,4.959,2,0,4010113,4010113,0.0
44,4907,4.719,2,0,4010118,4010118,0.001
44,4879,4.479,2,0,4010124,4010124,0.003
44,4909,4.239,2,0,4010128,4010128,0.004
44,4869,3.999,2,0,4010128,4010128,0.0
44,4898,3.759,4,10000,4010156,4046997,0.007
44,4896,3.519,4,10000,4017254,4046997,8.254
44,4877,3.279,4,10000,4033945,4046997,19.292
45,4913,13.039,6,-1773,4059987,4046997,26.798
45,4783,12.799,6,-2525,4081821,4046997,23.101
45,4794,12.559,6,-2122,4096595,4046997,15.073
