event_bits,evt_dial_neg,evt_dial_pos,evt_fn1_cur,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86636,0,1732763,0,0.0,0
1048832,0,0,0,1,1,0,2,0.0,1,3,2,86637,0,1732783,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86638,0,1732803,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86639,0,1732823,0,0.0,0
1048832,0,0,0,1,1,0,-5,0.0,1,3,2,86640,0,1732843,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86641,0,1732863,0,0.0,0
1048832,0,0,0,1,1,0,-3,0.0,1,3,2,86642,0,1732883,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86643,0,1732903,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86644,0,1732923,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86645,0,1732943,0,0.0,0
1048832,0,0,0,1,1,0,2,0.0,1,3,2,86646,0,1732963,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86647,0,1732983,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86648,0,1733003,0,0.0,0
1048832,0,0,0,1,1,0,-3,0.0,1,3,2,86649,0,1733023,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86650,0,1733043,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86651,0,1733063,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86652,0,1733083,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86653,0,1733103,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86654,0,1733123,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86655,0,1733143,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86656,0,1733163,0,0.0,0
1048832,0,0,0,1,1,0,-3,0.0,1,3,2,86657,0,1733183,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86658,0,1733203,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86659,0,1733223,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86660,0,1733243,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86661,0,1733263,0,0.0,0
1048832,0,0,0,1,1,0,2,0.0,1,3,2,86662,0,1733283,0,0.0,0
1048832,0,0,0,1,1,0,-7,0.0,1,3,2,86663,0,1733303,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86664,0,1733323,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86665,0,1733343,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86666,0,1733363,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86667,0,1733383,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86668,0,1733403,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86669,0,1733423,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86670,0,1733443,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86671,0,1733463,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86672,0,1733483,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86673,0,1733503,0,0.0,0
1048832,0,0,0,1,1,0,-3,0.0,1,3,2,86674,0,1733523,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86675,0,1733543,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86676,0,1733563,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86677,0,1733583,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86678,0,1733603,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86679,0,1733623,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86680,0,1733643,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86681,0,1733663,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86682,0,1733683,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86683,0,1733703,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86684,0,1733723,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86685,0,1733743,0,0.0,0
1048832,0,0,0,1,1,0,-3,0.0,1,3,2,86686,0,1733763,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86687,0,1733783,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86688,0,1733803,0,0.0,0
1048832,0,0,0,1,1,0,-3,0.0,1,3,2,86689,0,1733823,0,0.0,0
1048832,0,0,0,1,1,0,-3,0.0,1,3,2,86690,0,1733843,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86691,0,1733863,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86692,0,1733883,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86693,0,1733903,0,0.0,0
1048832,0,0,0,1,1,0,-3,0.0,1,3,2,86694,0,1733923,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86695,0,1733943,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86696,0,1733963,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86697,0,1733983,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86698,0,1734003,0,0.0,0
1048832,0,0,0,1,1,0,-3,0.0,1,3,2,86699,0,1734023,0,0.0,0
1048832,0,0,0,1,1,0,-3,0.0,1,3,2,86700,0,1734043,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86701,0,1734063,0,0.0,0
1048832,0,0,0,1,1,0,-3,0.0,1,3,2,86702,0,1734083,0,0.0,0
1048832,0,0,0,1,1,0,-3,0.0,1,3,2,86703,0,1734103,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86704,0,1734123,0,0.0,0
1048832,0,0,0,1,1,0,0,0.0,1,3,2,86705,0,1734143,0,0.0,0
