ff_b_hat,ff_k_hat,pitch_cur,pitch_rel,pitch_rel_set,rc_ch3
3452,3452.325,7749,0.197,0.189,-652
3453,3453.326,7712,0.197,0.189,-630
3454,3454.327,7724,0.197,0.189,-536
3455,3455.328,7637,0.197,0.189,-492
3456,3456.329,7600,0.197,0.189,-414
3457,3457.33,7610,0.197,0.189,-375
3458,3458.331,7573,0.197,0.189,-297
3459,3459.332,7538,0.197,0.189,-255
3460,3460.333,7504,0.197,0.189,-211
3461,3461.334,7471,0.197,0.189,-115
3462,3462.335,7438,0.197,0.189,-65
3463,3463.336,7405,0.197,0.189,0
3464,3464.337,7364,0.197,0.189,45
3465,3465.338,7341,0.196,0.187,143
3466,3466.338,7229,0.196,0.184,192
3467,3467.339,7071,0.196,0.18,238
3468,3468.34,6908,0.195,0.174,321
3467,3467.616,6690,0.194,0.167,361
