event_bits,evt_cmd_high_freq_toggle,evt_fn1_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0.0,0,3,2,54743,0,1094903,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54744,0,1094923,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54745,0,1094943,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54746,0,1094963,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54747,0,1094983,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54748,0,1095003,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54749,0,1095023,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54750,0,1095043,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54751,0,1095063,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54752,0,1095083,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54753,0,1095103,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54754,0,1095123,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54755,0,1095143,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54756,0,1095163,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54757,0,1095183,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54758,0,1095203,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54759,0,1095223,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54760,0,1095243,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54761,0,1095263,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54762,0,1095283,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54763,0,1095303,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54764,0,1095323,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54765,0,1095343,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54766,0,1095363,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54767,0,1095383,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54768,0,1095403,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54769,0,1095423,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54770,0,1095443,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54771,0,1095463,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54772,0,1095483,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54773,0,1095503,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54774,0,1095523,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54775,0,1095543,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54776,0,1095563,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54777,0,1095583,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54778,0,1095603,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54779,0,1095623,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54780,0,1095643,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54781,0,1095663,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54782,0,1095683,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54783,0,1095703,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54784,0,1095723,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54785,0,1095743,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54786,0,1095763,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54787,0,1095783,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54788,0,1095803,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54789,0,1095823,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54790,0,1095843,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54791,0,1095863,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54792,0,1095883,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54793,0,1095903,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54794,0,1095923,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54795,0,1095943,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54796,0,1095963,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54797,0,1095983,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54798,0,1096003,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54799,0,1096023,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54800,0,1096043,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54801,0,1096063,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54802,0,1096083,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54803,0,1096103,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54804,0,1096123,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54805,0,1096143,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54806,0,1096163,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54807,0,1096183,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54808,0,1096203,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54809,0,1096223,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54810,0,1096243,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54811,0,1096263,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54812,0,1096283,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54813,0,1096303,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54814,0,1096323,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54815,0,1096343,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54816,0,1096363,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54817,0,1096383,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54818,0,1096403,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54819,0,1096423,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54820,0,1096443,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54821,0,1096463,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54822,0,1096483,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54823,0,1096503,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54824,0,1096523,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54825,0,1096543,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54826,0,1096563,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54827,0,1096583,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54828,0,1096603,0,0.0,0
