accel_toe,bat_pct,bullet_cnt,cali_step,ch_mode,ch_yaw,ch_yaw_set,chassis_ok,dbus_toe,drop,event_bits,ff_b_hat,ff_k_hat,fric1_cur,fric1_rpm,fric2_cur,fric2_rpm,fric_set,gimbal_ok,gyro_toe,high_freq,i1,i2,i3,i4,key_v,local_heat,mouse_x,mouse_y,pitch_cur,pitch_mode,pitch_rel,pitch_rel_set,pitch_toe,rc_ch0,rc_ch1,rc_ch2,rc_ch3,rc_s0,rc_s1,ref_toe,rel,rel_set,seq,shoot_mode,tick_ms,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd,trigger_spd_set,vx_set,vy_set,wz_set,yaw_abs,yaw_abs_set,yaw_cur,yaw_gyro,yaw_gyro_set,yaw_mode,yaw_rel,yaw_rel_set,yaw_toe
0,95,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37616,0,767380,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,-0.002,0.0,0,0.434,-0.27,0
0,100,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37617,0,767401,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.012,0.0,0,0.434,-0.27,0
0,100,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37618,0,767421,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,-0.003,0.0,0,0.434,-0.27,0
0,100,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37619,0,767441,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.005,0.0,0,0.434,-0.27,0
0,100,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37620,0,767461,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,-0.003,0.0,0,0.434,-0.27,0
0,100,0,0,3,0.27,0.0,1,1,0,0,0,0.0,30,-3,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37621,0,767481,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.004,0.0,0,0.434,-0.27,0
0,95,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37622,0,767501,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.001,0.0,0,0.434,-0.27,0
0,95,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37623,0,767521,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.776,0.0,0,-0.001,0.0,0,0.434,-0.27,0
0,95,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37624,0,767542,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.004,0.0,0,0.434,-0.27,0
0,95,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37625,0,767562,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.002,0.0,0,0.434,-0.27,0
