pitch_cur,pitch_rel,pitch_rel_set,rc_ch3
10266,-0.194,-0.185,0
10266,-0.194,-0.185,0
10268,-0.194,-0.185,0
10223,-0.194,-0.185,0
10270,-0.194,-0.185,0
10274,-0.194,-0.185,0
10276,-0.194,-0.185,0
10279,-0.194,-0.185,0
10279,-0.194,-0.185,-7
10288,-0.194,-0.185,-37
10319,-0.194,-0.183,-140
10385,-0.194,-0.18,-213
10493,-0.194,-0.175,-302
10654,-0.194,-0.166,-460
10791,-0.194,-0.157,-491
11062,-0.194,-0.145,-610
11301,-0.194,-0.133,-634
11551,-0.194,-0.12,-660
11807,-0.194,-0.107,-660
12030,-0.194,-0.093,-660
12259,-0.193,-0.08,-660
12530,-0.193,-0.067,-660
12791,-0.193,-0.054,-660
13049,-0.193,-0.041,-660
13305,-0.193,-0.027,-660
13519,-0.192,-0.014,-660
13718,-0.19,-0.001,-660
13908,-0.188,0.011,-660
14112,-0.186,0.024,-660
14323,-0.184,0.038,-660
14491,-0.181,0.051,-660
14757,-0.179,0.064,-660
14934,-0.176,0.077,-660
15110,-0.173,0.09,-660
15302,-0.17,0.104,-660
15466,-0.166,0.117,-660
15602,-0.161,0.13,-660
15729,-0.156,0.143,-660
15799,-0.149,0.156,-660
15793,-0.14,0.17,-660
15817,-0.13,0.183,-660
15612,-0.117,0.189,-660
15264,-0.102,0.189,-660
14935,-0.087,0.189,-660
14602,-0.071,0.189,-660
14285,-0.055,0.189,-660
13896,-0.037,0.189,-660
13536,-0.019,0.189,-660
13122,0.0,0.189,-660
12848,0.016,0.189,-660
12581,0.032,0.189,-660
12311,0.047,0.189,-660
12091,0.061,0.189,-660
11822,0.075,0.189,-660
11578,0.089,0.189,-660
11424,0.101,0.189,-660
11252,0.111,0.189,-660
11120,0.121,0.189,-660
10988,0.129,0.189,-660
10865,0.137,0.189,-660
10798,0.143,0.189,-660
10703,0.149,0.189,-660
10665,0.154,0.189,-660
10593,0.158,0.189,-660
10576,0.161,0.189,-660
10574,0.164,0.189,-660
10537,0.166,0.189,-660
10564,0.167,0.189,-660
10648,0.166,0.189,-660
10610,0.167,0.189,-660
10653,0.166,0.189,-660
10648,0.166,0.189,-660
10650,0.166,0.189,-660
10614,0.167,0.189,-660
10626,0.167,0.189,-660
10628,0.167,0.189,-660
10627,0.167,0.189,-660
