fric_set,key_v,mouse_x,mouse_y,pitch_rel,shoot_mode,vx_set,vy_set,wz_set,yaw_abs
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,0,0.026,0,0.0,0.0,1.484,-0.009
