accel_toe,bat_pct,bullet_cnt,cali_step,ch_mode,ch_yaw,ch_yaw_set,chassis_ok,dbus_toe,drop,event_bits,evt_chassis_mode_changed,evt_chassis_snapshot_invalid,evt_cmd_burst_toggle,evt_cmd_high_freq_toggle,evt_cmd_reverse_trigger,evt_cmd_shoot_toggle,evt_cmd_vt03_trigger,evt_dbus_toe_changed,evt_dial_neg,evt_dial_pos,evt_fn1_cur,evt_fn2_cur,evt_gimbal_snapshot_invalid,evt_pause_cur,evt_pitch_mode_changed,evt_pitch_toe_changed,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,evt_yaw_mode_changed,evt_yaw_toe_changed,ff_b_hat,ff_k_hat,fric1_cur,fric1_rpm,fric2_cur,fric2_rpm,fric_set,gimbal_ok,gyro_toe,high_freq,i1,i2,i3,i4,key_v,local_heat,mouse_x,mouse_y,pitch_cur,pitch_mode,pitch_rel,pitch_rel_set,pitch_toe,rc_ch0,rc_ch1,rc_ch2,rc_ch3,rc_s0,rc_s1,ref_toe,rel,rel_set,seq,shoot_mode,tick_ms,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd,trigger_spd_set,vt03_toe,vx_set,vy_set,wz_set,yaw_abs,yaw_abs_set,yaw_cur,yaw_gyro,yaw_gyro_set,yaw_mode,yaw_rel,yaw_rel_set,yaw_toe
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.584,1.584,1,0,0,0,0,2,3,1,-0.355,0.0,621,0,12463,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,0.001,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.584,1.584,1,0,0,0,0,2,3,1,-0.355,0.0,622,0,12483,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,0.002,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.584,1.584,1,0,0,0,0,2,3,1,-0.355,0.0,623,0,12503,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,-0.004,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.584,1.584,1,0,0,0,0,2,3,1,-0.355,0.0,624,0,12523,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,0.003,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.584,1.584,1,0,0,0,0,2,3,1,-0.355,0.0,625,0,12543,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,0.008,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.584,1.584,1,0,0,0,0,2,3,1,-0.355,0.0,626,0,12563,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,0.002,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.584,1.584,1,0,0,0,0,2,3,1,-0.355,0.0,627,0,12583,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,-0.008,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.584,1.584,1,0,0,0,0,2,3,1,-0.355,0.0,628,0,12603,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,0.002,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.584,1.584,1,0,0,0,0,2,3,1,-0.355,0.0,629,0,12623,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,0.005,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.584,1.584,1,0,0,0,0,2,3,1,-0.355,0.0,630,0,12643,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,0.006,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.584,1.584,1,0,0,0,0,2,3,1,-0.355,0.0,631,0,12663,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,0.001,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.584,1.584,1,0,0,0,0,2,3,1,-0.355,0.0,632,0,12683,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,0.004,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.584,1.584,1,0,0,0,0,2,3,1,-0.355,0.0,633,0,12703,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,0.004,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.584,1.584,1,0,0,0,0,2,3,1,-0.355,0.0,634,0,12723,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,0.008,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.175,1.584,0,0,0,0,0,2,3,1,-0.355,0.0,635,0,12743,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,0.004,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.175,1.584,0,0,0,0,0,2,3,1,-0.355,0.0,636,0,12763,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,-0.007,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.175,1.584,0,0,0,0,0,2,3,1,-0.355,0.0,637,0,12783,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,-0.003,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.175,1.584,0,0,0,0,0,2,3,1,-0.355,0.0,638,0,12803,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,0.001,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.175,1.584,0,0,0,0,0,2,3,1,-0.355,0.0,639,0,12823,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,0.0,0.0,0,0.601,-0.355,0
0,100,0,0,3,0.355,0.0,1,1,618,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.175,1.584,0,0,0,0,0,2,3,1,-0.355,0.0,640,0,12843,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.004,0.0,0,0.0,0.0,0,0.601,-0.355,0
