ch_mode,model_input,model_max,model_power,rc_s0,ref_chassis_power,ref_toe
0,-40.0,120.0,16.43,3,6000,1
0,-40.0,120.0,16.43,3,6000,1
0,-40.0,120.0,16.39,3,6000,0
0,-40.0,120.0,16.37,3,6000,0
0,-40.0,120.0,16.38,3,6000,0
0,-40.0,120.0,16.22,3,6000,0
0,-40.0,120.0,16.38,3,6000,0
0,-40.0,120.0,16.37,3,6000,0
0,-40.0,120.0,16.39,3,6000,0
0,-40.0,120.0,16.41,3,6000,0
0,-40.0,120.0,16.37,3,6000,0
0,-40.0,120.0,16.46,3,6000,0
0,-40.0,120.0,16.42,3,6000,1
0,-40.0,120.0,16.42,3,6000,1
0,-40.0,120.0,16.42,3,6000,1
0,-40.0,120.0,16.45,3,6000,0
0,-40.0,120.0,16.43,3,6000,0
0,-40.0,120.0,16.38,3,6000,0
0,-40.0,120.0,16.43,3,6000,0
0,-40.0,120.0,16.4,3,6000,1
0,-40.0,120.0,16.4,3,6000,1
0,-40.0,120.0,16.4,3,6000,1
0,-40.0,120.0,16.4,3,6000,0
0,-40.0,120.0,16.34,3,6000,0
0,-40.0,120.0,16.39,3,6000,0
0,-40.0,120.0,16.38,3,6000,0
0,-40.0,120.0,16.39,3,6000,0
0,-40.0,120.0,16.45,3,6000,0
0,-40.0,120.0,16.39,3,6000,0
0,-40.0,120.0,16.46,3,6000,0
0,-40.0,120.0,16.32,3,6000,0
0,-40.0,120.0,16.41,3,6000,0
0,-40.0,120.0,16.37,3,6000,0
0,-40.0,120.0,16.41,3,6000,0
0,-40.0,120.0,16.62,3,6000,0
0,-40.0,120.0,16.41,3,6000,0
0,-40.0,120.0,16.43,3,6000,1
0,-40.0,120.0,16.43,3,6000,1
0,-40.0,120.0,16.43,3,6000,1
0,-40.0,120.0,16.43,3,6000,1
0,-40.0,120.0,16.43,3,6000,0
0,-40.0,120.0,16.34,3,6000,0
0,-40.0,120.0,16.46,3,6000,0
0,-40.0,120.0,16.3,3,6000,0
0,-40.0,120.0,16.43,3,6000,0
0,-40.0,120.0,16.4,3,6000,0
0,-40.0,120.0,16.42,3,6000,0
0,-40.0,120.0,16.43,3,6000,0
0,-40.0,120.0,16.38,3,6000,0
0,-40.0,120.0,16.43,3,6000,0
0,-40.0,120.0,16.39,3,6000,0
0,-40.0,120.0,16.41,3,6000,0
0,-40.0,120.0,16.34,3,6000,0
0,-40.0,120.0,16.42,3,6000,0
0,-40.0,120.0,16.41,3,6000,1
0,-40.0,120.0,16.41,3,6000,1
0,-40.0,120.0,16.41,3,6000,1
0,-40.0,120.0,16.37,3,6000,0
0,-40.0,120.0,16.45,3,6000,0
0,-40.0,120.0,16.35,3,6000,0
0,-40.0,120.0,16.42,3,6000,0
0,-40.0,120.0,16.33,3,6000,0
0,-40.0,120.0,16.43,3,6000,0
0,-40.0,120.0,16.4,3,6000,0
0,-40.0,120.0,16.41,3,6000,0
0,-40.0,120.0,16.4,3,6000,0
0,-40.0,120.0,16.39,3,6000,0
0,-40.0,120.0,16.4,3,6000,0
0,-40.0,120.0,16.41,3,6000,0
0,-40.0,120.0,16.39,3,6000,0
0,-40.0,120.0,16.37,3,6000,0
0,-40.0,120.0,16.42,3,6000,0
0,-40.0,120.0,16.38,3,6000,0
0,-40.0,120.0,16.46,3,6000,0
0,-40.0,120.0,16.41,3,6000,0
0,-40.0,120.0,16.38,3,6000,0
0,-40.0,120.0,16.43,3,6000,0
0,-40.0,120.0,16.37,3,6000,0
0,-40.0,120.0,16.4,3,6000,1
0,-40.0,120.0,16.4,3,6000,1
0,-40.0,120.0,16.4,3,6000,1
0,-40.0,120.0,16.37,3,6000,0
0,-40.0,120.0,16.44,3,6000,0
0,-40.0,120.0,16.36,3,6000,0
0,-40.0,120.0,16.41,3,6000,0
0,-40.0,120.0,16.42,3,6000,0
0,-40.0,120.0,16.43,3,6000,0
0,-40.0,120.0,16.43,3,6000,0
0,-40.0,120.0,16.33,3,6000,0
0,-40.0,120.0,16.46,3,6000,0
0,-40.0,120.0,16.37,3,6000,0
0,-40.0,120.0,16.45,3,6000,0
0,-40.0,120.0,16.41,3,6000,0
0,-40.0,120.0,16.38,3,6000,0
0,-40.0,120.0,16.44,3,6000,0
0,-40.0,120.0,16.4,3,6000,0
0,-40.0,120.0,16.4,3,6000,0
0,-40.0,120.0,16.37,3,6000,0
0,-40.0,120.0,16.4,3,6000,1
0,-40.0,120.0,16.4,3,6000,1
0,-40.0,120.0,16.4,3,6000,1
0,-40.0,120.0,16.4,3,6000,1
0,-40.0,120.0,16.42,3,6000,0
0,-40.0,120.0,16.39,3,6000,0
0,-40.0,120.0,16.45,3,6000,0
0,-40.0,120.0,16.41,3,6000,0
0,-40.0,120.0,16.35,3,6000,0
0,-40.0,120.0,16.44,3,6000,0
0,-40.0,120.0,16.38,3,6000,0
0,-40.0,120.0,16.41,3,6000,0
0,-40.0,120.0,16.35,3,6000,0
0,-40.0,120.0,16.43,3,6000,0
0,-40.0,120.0,16.42,3,6000,0
0,-40.0,120.0,16.41,3,6000,0
0,-40.0,120.0,16.42,3,6000,0
0,-40.0,120.0,16.38,3,6000,0
0,-40.0,120.0,16.42,3,6000,0
0,-40.0,120.0,16.38,3,6000,0
0,-40.0,120.0,16.45,3,6000,0
0,-40.0,120.0,16.44,3,6000,1
0,-40.0,120.0,16.44,3,6000,1
0,-40.0,120.0,16.44,3,6000,1
0,-40.0,120.0,16.44,3,6000,1
0,-40.0,120.0,19.01,3,6000,0
0,-40.0,120.0,22.33,3,6000,0
0,-40.0,120.0,26.31,3,6000,0
0,-40.0,120.0,31.76,3,6000,0
0,-40.0,120.0,38.85,3,6000,0
0,-40.0,120.0,47.28,3,6000,0
0,-40.0,120.0,54.89,3,6000,0
0,-40.0,120.0,59.26,3,6000,0
0,-40.0,120.0,64.6,3,6000,0
0,-40.0,120.0,42.21,3,6000,0
0,-40.0,120.0,36.79,3,6000,0
0,-40.0,120.0,35.35,3,6000,0
0,-40.0,120.0,34.45,3,6000,0
0,-40.0,120.0,34.7,3,6000,1
0,-40.0,120.0,34.7,3,6000,1
0,-40.0,120.0,34.7,3,6000,1
0,-40.0,120.0,35.76,3,6000,0
0,-40.0,120.0,34.96,3,6000,0
0,-40.0,120.0,34.62,3,6000,0
0,-40.0,120.0,38.57,3,6000,0
0,-40.0,120.0,36.08,3,6000,0
0,-40.0,120.0,36.25,3,6000,0
0,-40.0,120.0,36.74,3,6000,0
0,-40.0,120.0,34.73,3,6000,0
0,-40.0,120.0,33.95,3,6000,0
0,-40.0,120.0,35.77,3,6000,0
0,-40.0,120.0,35.74,3,6000,1
0,-40.0,120.0,35.74,3,6000,1
0,-40.0,120.0,35.74,3,6000,1
0,-40.0,120.0,35.74,3,6000,1
0,-40.0,120.0,35.15,3,6000,0
0,-40.0,120.0,34.48,3,6000,0
0,-40.0,120.0,36.53,3,6000,0
0,-40.0,120.0,33.78,3,6000,0
0,-40.0,120.0,34.84,3,6000,0
0,-40.0,120.0,34.66,3,6000,0
0,-40.0,120.0,35.16,3,6000,0
0,-40.0,120.0,33.34,3,6000,0
0,-40.0,120.0,33.85,3,6000,0
0,-40.0,120.0,35.95,3,6000,1
0,-40.0,120.0,35.95,3,6000,1
0,-40.0,120.0,35.95,3,6000,1
0,-40.0,120.0,35.95,3,6000,1
0,-40.0,120.0,34.96,3,6000,0
0,-40.0,120.0,34.26,3,6000,0
