event_bits,evt_cmd_burst_toggle,evt_cmd_high_freq_toggle,evt_cmd_reverse_trigger,evt_fn1_cur,evt_fn2_cur,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,0,0,0,1,1,0,0,0.0,1,3,2,89301,0,1786063,0,0.0,0
1048832,0,0,0,0,0,1,1,0,0,0.0,1,3,2,89302,0,1786083,0,0.0,0
1048832,0,0,0,0,0,1,1,0,0,0.0,1,3,2,89303,0,1786103,0,0.0,0
1048832,0,0,0,0,0,1,1,0,0,0.0,1,3,2,89304,0,1786123,0,0.0,0
1048832,0,0,0,0,0,1,1,0,-3,0.0,1,3,2,89305,0,1786143,0,0.0,0
1048832,0,0,0,0,0,1,1,0,0,0.0,1,3,2,89306,0,1786163,0,0.0,0
1048832,0,0,0,0,0,1,1,0,-3,0.0,1,3,2,89307,0,1786183,0,0.0,0
1048832,0,0,0,0,0,1,1,0,0,0.0,1,3,2,89308,0,1786203,0,0.0,0
1048832,0,0,0,0,0,1,1,0,0,0.0,1,3,2,89309,0,1786223,0,0.0,0
1048832,0,0,0,0,0,1,1,0,0,0.0,1,3,2,89310,0,1786243,0,0.0,0
1048832,0,0,0,0,0,1,1,0,0,0.0,1,3,2,89311,0,1786263,0,0.0,0
1048832,0,0,0,0,0,1,1,0,0,0.0,1,3,2,89312,0,1786283,0,0.0,0
1048832,0,0,0,0,0,1,1,0,0,0.0,1,3,2,89313,0,1786303,0,0.0,0
1048832,0,0,0,0,0,1,1,0,0,0.0,1,3,2,89314,0,1786323,0,0.0,0
1048832,0,0,0,0,0,1,1,0,-3,0.0,1,3,2,89315,0,1786343,0,0.0,0
1048832,0,0,0,0,0,1,1,0,0,0.0,1,3,2,89316,0,1786363,0,0.0,0
1048832,0,0,0,0,0,1,1,0,0,0.0,1,3,2,89317,0,1786383,0,0.0,0
1048832,0,0,0,0,0,1,1,0,0,0.0,1,3,2,89318,0,1786403,0,0.0,0
1048832,0,0,0,0,0,1,1,0,-3,0.0,1,3,2,89319,0,1786423,0,0.0,0
1048832,0,0,0,0,0,1,1,0,0,0.0,1,3,2,89320,0,1786443,0,0.0,0
1048832,0,0,0,0,0,1,1,0,0,0.0,1,3,2,89321,0,1786463,0,0.0,0
1048832,0,0,0,0,0,1,1,0,0,0.0,1,3,2,89322,0,1786483,0,0.0,0
1048832,0,0,0,0,0,1,1,0,-3,0.0,1,3,2,89323,0,1786503,0,0.0,0
