pitch_cur,pitch_rel,pitch_rel_set,rc_ch3
2495,-0.186,-0.196,660
2538,-0.187,-0.196,660
2491,-0.186,-0.196,660
2534,-0.187,-0.196,660
2532,-0.187,-0.196,660
2486,-0.186,-0.196,660
2485,-0.186,-0.196,660
2484,-0.186,-0.196,660
2485,-0.186,-0.196,660
2478,-0.186,-0.196,660
2478,-0.186,-0.196,660
2471,-0.186,-0.196,660
2518,-0.187,-0.196,660
2471,-0.186,-0.196,660
2467,-0.186,-0.196,660
2464,-0.186,-0.196,660
2461,-0.186,-0.196,660
2508,-0.187,-0.196,660
2462,-0.186,-0.196,660
2501,-0.187,-0.196,660
2503,-0.187,-0.196,660
2455,-0.186,-0.196,660
2448,-0.186,-0.196,660
2496,-0.187,-0.196,660
2491,-0.187,-0.196,660
2442,-0.186,-0.196,660
2444,-0.186,-0.196,660
2489,-0.187,-0.196,660
2432,-0.186,-0.196,660
2436,-0.186,-0.196,660
2432,-0.186,-0.196,660
2429,-0.186,-0.196,660
2472,-0.187,-0.196,660
2432,-0.186,-0.196,660
2468,-0.187,-0.196,660
2422,-0.186,-0.196,660
2465,-0.187,-0.196,660
2416,-0.186,-0.196,660
2417,-0.186,-0.196,660
2418,-0.186,-0.196,660
2417,-0.186,-0.196,660
2411,-0.186,-0.196,660
2410,-0.186,-0.196,660
2408,-0.186,-0.196,660
2400,-0.186,-0.196,660
2405,-0.186,-0.196,660
2446,-0.187,-0.196,660
2401,-0.186,-0.196,660
2397,-0.186,-0.196,660
2438,-0.187,-0.196,660
2391,-0.186,-0.196,660
2437,-0.187,-0.196,660
2385,-0.186,-0.196,660
2384,-0.186,-0.196,660
2383,-0.186,-0.196,660
2383,-0.186,-0.196,660
2375,-0.186,-0.196,660
2420,-0.187,-0.196,660
2418,-0.187,-0.196,660
2417,-0.187,-0.196,660
2412,-0.187,-0.196,660
2370,-0.186,-0.196,660
2368,-0.186,-0.196,660
2364,-0.186,-0.196,660
2360,-0.186,-0.196,660
2403,-0.187,-0.196,660
2402,-0.187,-0.196,660
2401,-0.187,-0.196,660
2353,-0.186,-0.196,660
2400,-0.187,-0.196,660
2396,-0.187,-0.196,660
2392,-0.187,-0.196,660
2347,-0.186,-0.196,660
2386,-0.187,-0.196,660
2388,-0.187,-0.196,660
2340,-0.186,-0.196,660
2383,-0.187,-0.196,660
2379,-0.187,-0.196,660
2333,-0.186,-0.196,660
2375,-0.187,-0.196,660
2371,-0.187,-0.196,660
2370,-0.187,-0.196,660
2327,-0.186,-0.196,660
2321,-0.186,-0.196,660
2361,-0.187,-0.196,660
2360,-0.187,-0.196,660
2319,-0.186,-0.196,660
2318,-0.186,-0.196,660
2311,-0.186,-0.196,660
2311,-0.186,-0.196,660
2351,-0.187,-0.196,660
2348,-0.187,-0.196,660
2347,-0.187,-0.196,660
2345,-0.187,-0.196,660
2343,-0.187,-0.196,660
2340,-0.187,-0.196,660
2294,-0.186,-0.196,660
2336,-0.187,-0.196,660
2286,-0.186,-0.196,660
2331,-0.187,-0.196,660
2331,-0.187,-0.196,660
2283,-0.186,-0.196,660
2284,-0.186,-0.196,660
2328,-0.187,-0.196,660
2324,-0.187,-0.196,660
2275,-0.186,-0.196,660
2317,-0.187,-0.196,660
2319,-0.187,-0.196,660
2266,-0.186,-0.196,660
2311,-0.187,-0.196,660
2311,-0.187,-0.196,660
2265,-0.186,-0.196,660
2265,-0.186,-0.196,660
2262,-0.186,-0.196,660
2303,-0.187,-0.196,660
2300,-0.187,-0.196,660
2297,-0.187,-0.196,660
2293,-0.187,-0.196,660
2249,-0.186,-0.196,660
2245,-0.186,-0.196,660
2291,-0.187,-0.196,660
2287,-0.187,-0.196,660
2238,-0.186,-0.196,660
2285,-0.187,-0.196,660
2238,-0.186,-0.196,660
2280,-0.187,-0.196,660
2277,-0.187,-0.196,660
2272,-0.187,-0.196,660
2271,-0.187,-0.196,660
2269,-0.187,-0.196,660
2267,-0.187,-0.196,660
2264,-0.187,-0.196,660
2263,-0.187,-0.196,660
2261,-0.187,-0.196,660
2261,-0.187,-0.196,660
2258,-0.187,-0.196,660
2255,-0.187,-0.196,660
2207,-0.186,-0.196,660
2208,-0.186,-0.196,660
2251,-0.187,-0.196,660
2246,-0.187,-0.196,660
2244,-0.187,-0.196,660
2243,-0.187,-0.196,660
2241,-0.187,-0.196,660
2238,-0.187,-0.196,660
2235,-0.187,-0.196,660
2234,-0.187,-0.196,660
2232,-0.187,-0.196,660
2231,-0.187,-0.196,660
2228,-0.187,-0.196,660
2226,-0.187,-0.196,660
2224,-0.187,-0.196,660
2224,-0.187,-0.196,660
2175,-0.186,-0.196,660
2219,-0.187,-0.196,660
2213,-0.187,-0.196,660
2212,-0.187,-0.196,660
2211,-0.187,-0.196,660
2164,-0.186,-0.196,660
2207,-0.187,-0.196,660
2204,-0.187,-0.196,660
2202,-0.187,-0.196,660
2202,-0.187,-0.196,660
2199,-0.187,-0.196,660
2201,-0.187,-0.196,660
2151,-0.186,-0.196,660
2192,-0.187,-0.196,660
2143,-0.186,-0.196,660
2186,-0.187,-0.196,660
2188,-0.187,-0.196,660
2186,-0.187,-0.196,660
2182,-0.187,-0.196,660
2182,-0.187,-0.196,660
2179,-0.187,-0.196,660
2177,-0.187,-0.196,660
2173,-0.187,-0.196,660
2171,-0.187,-0.196,660
2168,-0.187,-0.196,660
2166,-0.187,-0.196,660
2164,-0.187,-0.196,660
2165,-0.187,-0.196,660
2162,-0.187,-0.196,660
