bullet_cnt,fric1_rpm,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,-3,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
39,0,0,0,1072709,1072709,0.0
