shoot_mode,trigger_cur,trigger_spd,trigger_spd_set
2,0,-0.067,0.0
2,0,0.009,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.003,0.0
2,0,0.0,0.0
2,0,0.003,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.001,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
