evt_cmd_high_freq_toggle,evt_fn1_cur,fric1_rpm,fric_set,high_freq,shoot_mode
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,-3,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,-3,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,1,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0.0,0,0
