pitch_cur,pitch_rel,pitch_rel_set,rc_ch3
11789,-0.227,-0.196,0
11792,-0.227,-0.196,0
11793,-0.227,-0.196,0
11795,-0.227,-0.196,0
11798,-0.227,-0.196,0
11797,-0.227,-0.196,0
11799,-0.227,-0.196,0
11802,-0.227,-0.196,0
11804,-0.227,-0.196,0
11807,-0.227,-0.196,0
11810,-0.227,-0.196,0
11813,-0.227,-0.196,0
11814,-0.227,-0.196,0
11815,-0.227,-0.196,0
11816,-0.227,-0.196,0
11817,-0.227,-0.196,0
11820,-0.227,-0.196,0
11778,-0.227,-0.196,0
11825,-0.227,-0.196,0
11827,-0.227,-0.196,0
11830,-0.227,-0.196,0
11830,-0.227,-0.196,0
11833,-0.227,-0.196,0
11834,-0.227,-0.196,0
11837,-0.227,-0.196,0
11840,-0.227,-0.196,0
11841,-0.227,-0.196,0
11842,-0.227,-0.196,0
11844,-0.227,-0.196,0
11847,-0.227,-0.196,0
11849,-0.227,-0.196,0
11849,-0.227,-0.196,0
11853,-0.227,-0.196,0
11856,-0.227,-0.196,0
11857,-0.227,-0.196,0
11858,-0.227,-0.196,0
11860,-0.227,-0.196,0
11863,-0.227,-0.196,0
11865,-0.227,-0.196,0
11866,-0.227,-0.196,0
11867,-0.227,-0.196,0
11870,-0.227,-0.196,0
11871,-0.227,-0.196,0
11873,-0.227,-0.196,0
11877,-0.227,-0.196,0
11881,-0.227,-0.196,0
11879,-0.227,-0.196,0
11883,-0.227,-0.196,0
11884,-0.227,-0.196,0
11886,-0.227,-0.196,0
11890,-0.227,-0.196,0
11891,-0.227,-0.196,0
11894,-0.227,-0.196,0
11897,-0.227,-0.196,0
11897,-0.227,-0.196,0
11898,-0.227,-0.196,0
11899,-0.227,-0.196,0
11902,-0.227,-0.196,0
11902,-0.227,-0.196,0
11905,-0.227,-0.196,0
11907,-0.227,-0.196,0
11909,-0.227,-0.196,0
11910,-0.227,-0.196,0
11869,-0.227,-0.196,0
11918,-0.227,-0.196,0
11919,-0.227,-0.196,0
11919,-0.227,-0.196,0
11963,-0.228,-0.196,0
11923,-0.227,-0.196,0
11927,-0.227,-0.196,0
11926,-0.227,-0.196,0
11931,-0.227,-0.196,0
11977,-0.228,-0.196,0
11933,-0.227,-0.196,0
11935,-0.227,-0.196,0
11937,-0.227,-0.196,0
11940,-0.227,-0.196,0
11941,-0.227,-0.196,0
11944,-0.227,-0.196,0
11903,-0.227,-0.196,0
11948,-0.227,-0.196,0
11950,-0.227,-0.196,0
11951,-0.227,-0.196,0
11953,-0.227,-0.196,0
11953,-0.227,-0.196,0
11958,-0.227,-0.196,0
11959,-0.227,-0.196,0
11963,-0.227,-0.196,0
11962,-0.227,-0.196,0
11965,-0.227,-0.196,0
11967,-0.227,-0.196,0
11925,-0.227,-0.196,0
11972,-0.227,-0.196,0
11974,-0.227,-0.196,0
11975,-0.227,-0.196,0
12021,-0.228,-0.196,0
11979,-0.227,-0.196,0
11981,-0.227,-0.196,0
11984,-0.227,-0.196,0
11986,-0.227,-0.196,0
11988,-0.227,-0.196,0
11987,-0.227,-0.196,0
11990,-0.227,-0.196,0
11994,-0.227,-0.196,0
11996,-0.227,-0.196,0
11998,-0.227,-0.196,0
12002,-0.227,-0.196,0
12003,-0.227,-0.196,0
12005,-0.227,-0.196,0
12007,-0.227,-0.196,0
12007,-0.227,-0.196,0
12010,-0.227,-0.196,0
12011,-0.227,-0.196,0
12016,-0.227,-0.196,0
12017,-0.227,-0.196,0
11974,-0.227,-0.196,0
12020,-0.227,-0.196,0
12023,-0.227,-0.196,0
12024,-0.227,-0.196,0
12029,-0.227,-0.196,0
12032,-0.227,-0.196,0
12031,-0.227,-0.196,0
12033,-0.227,-0.196,0
12033,-0.227,-0.196,0
11991,-0.227,-0.196,0
12041,-0.227,-0.196,0
12041,-0.227,-0.196,0
12043,-0.227,-0.196,0
