bullet_cnt,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd,trigger_spd_set
199,75.534,2,2358,41330448,41330448,4.404,5.0
199,75.186,2,2207,41337272,41337272,5.233,5.0
199,74.826,2,2116,41344940,41344940,5.539,5.0
199,74.478,2,1993,41353136,41353136,5.839,5.0
199,74.13,2,1968,41360964,41360964,5.624,5.0
199,73.794,2,1950,41368176,41368176,5.475,5.0
199,73.458,2,1964,41375184,41375184,5.255,5.0
199,73.122,2,1878,41382392,41382392,5.519,5.0
199,72.786,2,1754,41390284,41390284,5.849,5.0
199,72.45,2,1672,41398100,41398100,5.884,5.0
199,72.114,2,1649,41405644,41405644,5.674,5.0
199,71.766,2,1563,41413440,41413440,5.783,5.0
199,71.43,2,1533,41420888,41420888,5.631,5.0
199,71.094,2,1608,41436184,41436184,5.11,5.0
199,70.758,2,1633,41442756,41442756,4.997,5.0
199,70.422,2,1620,41449416,41449416,5.043,5.0
199,70.086,2,1633,41455920,41455920,4.99,5.0
199,69.75,5,3846,41464432,41457616,6.814,15.0
199,69.402,5,3357,41479160,41457616,11.709,15.0
200,79.054,2,569,41499280,41499280,15.403,5.0
200,78.706,2,-41,41519052,41519052,14.042,5.0
200,78.358,2,-45,41534768,41534768,10.793,5.0
200,78.01,2,319,41545880,41545880,7.237,5.0
200,77.662,2,753,41552928,41552928,4.684,5.0
200,77.314,2,1224,41557328,41557328,2.879,5.0
200,76.966,2,1692,41559960,41559960,1.737,5.0
200,76.618,2,2031,41562072,41562072,1.523,5.0
200,76.27,2,2294,41564400,41564400,1.721,5.0
200,75.934,2,2324,41567796,41567796,2.734,5.0
200,75.598,2,2260,41572552,41572552,3.798,5.0
200,75.262,2,2051,41578960,41578960,5.056,5.0
200,74.914,2,1903,41586464,41586464,5.613,5.0
200,74.566,2,1862,41586144,41586144,5.556,5.0
200,74.229,2,1855,41593320,41593320,5.385,5.0
200,73.893,2,1894,41600120,41600120,5.104,5.0
200,73.545,2,1930,41606932,41606932,4.903,5.0
200,73.197,2,1978,41613408,41613408,4.756,5.0
200,72.861,2,1984,41619952,41619952,4.803,5.0
200,72.513,2,2017,41626432,41626432,4.748,5.0
200,72.165,2,1996,41633152,41633152,4.921,5.0
200,71.817,2,1977,41639928,41639928,5.043,5.0
200,71.457,2,1937,41647232,41647232,5.185,5.0
200,71.109,2,1989,41654076,41654076,4.856,5.0
200,70.761,2,2236,41659924,41659924,3.875,5.0
200,70.425,2,2366,41664840,41664840,3.747,5.0
200,70.089,2,2481,41669708,41669708,3.721,5.0
200,69.741,5,4672,41677132,41670988,6.264,15.0
200,69.393,5,3991,41692104,41670988,12.135,15.0
200,69.045,5,3363,41705064,41670988,15.678,15.0
201,78.709,2,576,41718016,41718016,15.591,5.0
201,78.373,2,434,41735284,41735284,12.487,5.0
201,78.037,2,799,41747320,41747320,8.37,5.0
201,77.701,2,1174,41755432,41755432,5.695,5.0
201,77.365,2,1729,41752304,41752304,3.133,5.0
201,77.029,2,2525,41753624,41753624,0.505,5.0
201,76.693,2,3058,41753560,41753560,-0.068,5.0
201,76.357,2,3478,41753496,41753496,-0.045,5.0
201,76.021,2,3899,41753448,41753448,-0.034,5.0
201,75.673,2,4333,41753428,41753428,-0.013,5.0
201,75.325,2,4766,41753424,41753424,0.0,5.0
201,74.977,2,5198,41753440,41753440,0.008,5.0
201,74.629,2,5628,41753480,41753480,0.028,5.0
201,74.281,2,5991,41753536,41753536,0.04,5.0
201,73.933,2,5996,41753572,41753572,0.018,5.0
201,73.597,2,5996,41753596,41753596,0.015,5.0
201,73.261,2,6000,41753600,41753600,0.0,5.0
201,72.925,2,5999,41753600,41753600,0.0,5.0
201,72.588,2,6000,41753600,41753600,0.0,5.0
201,72.252,2,5998,41753616,41753616,0.008,5.0
201,71.916,2,5993,41753652,41753652,0.034,5.0
201,71.58,2,5992,41753700,41753700,0.038,5.0
201,71.244,2,5996,41753736,41753736,0.018,5.0
201,70.908,2,5996,41753768,41753768,0.018,5.0
201,70.572,2,5997,41753792,41753792,0.013,5.0
201,70.236,2,5999,41753804,41753804,0.001,5.0
201,69.9,5,7996,41753828,41753804,0.019,15.0
201,69.564,5,7943,41754128,41753804,0.283,15.0
201,69.228,5,7689,41755992,41753804,1.553,15.0
201,68.88,5,7646,41766544,41753804,1.766,15.0
201,68.52,5,7384,41770520,41753804,3.075,15.0
201,68.16,5,6937,41777620,41753804,5.314,15.0
201,67.8,5,6846,41785692,41753804,5.768,15.0
202,77.44,2,4911,41793536,41793536,5.346,5.0
202,77.092,2,5562,41797384,41797384,2.189,5.0
202,76.744,2,6011,41797600,41797600,-0.059,5.0
202,76.396,2,6000,41797600,41797600,-0.003,5.0
202,76.06,2,5999,41797600,41797600,0.0,5.0
202,75.724,2,5997,41797616,41797616,0.012,5.0
202,75.388,2,5993,41797656,41797656,0.032,5.0
202,75.052,2,6000,41797660,41797660,-0.001,5.0
202,74.716,2,5999,41797660,41797660,0.0,5.0
202,74.38,2,5999,41797664,41797664,0.004,5.0
202,74.044,2,5998,41797672,41797672,0.007,5.0
202,73.708,2,6000,41797680,41797680,0.0,5.0
202,73.372,2,5999,41797688,41797688,0.004,5.0
202,73.036,2,6000,41797688,41797688,0.0,5.0
202,72.7,2,6000,41797692,41797692,0.0,5.0
202,72.352,2,5999,41797692,41797692,0.0,5.0
202,72.004,2,5999,41797696,41797696,0.0,5.0
202,71.656,2,6000,41797700,41797700,0.0,5.0
202,71.308,2,5999,41797700,41797700,0.0,5.0
202,70.959,2,6000,41797704,41797704,-0.002,5.0
202,70.611,2,5999,41797704,41797704,0.0,5.0
202,70.275,2,6000,41797704,41797704,0.0,5.0
202,69.939,5,7999,41797712,41797704,0.004,15.0
202,69.591,5,7925,41798136,41797704,0.371,15.0
