ff_b_hat,pitch_cur,pitch_rel,pitch_rel_set,rc_ch3
7291,7525,0.187,0.189,0
7301,7546,0.187,0.189,0
7311,7567,0.187,0.189,0
7321,7588,0.187,0.189,0
7331,7609,0.187,0.189,0
7341,7630,0.187,0.189,0
7351,7650,0.187,0.189,0
7361,7671,0.187,0.189,0
7371,7692,0.187,0.189,0
7381,7713,0.187,0.189,0
7391,7734,0.187,0.189,0
7401,7755,0.187,0.189,0
7411,7775,0.187,0.189,0
7421,7796,0.187,0.189,0
7431,7817,0.187,0.189,0
7441,7838,0.187,0.189,0
7451,7859,0.187,0.189,0
7461,7880,0.187,0.189,0
7471,7856,0.187,0.189,0
7481,7922,0.187,0.189,0
7491,7945,0.187,0.189,0
7501,7965,0.187,0.189,0
7511,7985,0.187,0.189,0
7521,7958,0.187,0.189,0
7531,8028,0.187,0.189,0
7541,8002,0.187,0.189,0
7551,8070,0.187,0.189,0
7561,8090,0.187,0.189,0
7571,8065,0.187,0.189,0
7581,8086,0.187,0.189,0
7591,8103,0.187,0.189,0
7601,8124,0.187,0.189,0
7611,8139,0.187,0.189,0
7621,8159,0.187,0.189,0
7631,8179,0.187,0.189,0
7641,8197,0.187,0.189,0
7651,8214,0.187,0.189,0
7661,8232,0.187,0.189,0
7671,8249,0.187,0.189,0
7681,8266,0.187,0.189,0
7691,8283,0.187,0.189,0
7701,8301,0.187,0.189,0
7711,8318,0.187,0.189,0
7721,8335,0.187,0.189,0
7731,8352,0.187,0.189,0
7741,8369,0.187,0.189,0
7751,8386,0.187,0.189,0
7761,8404,0.187,0.189,0
7771,8422,0.187,0.189,0
7781,8438,0.187,0.189,0
7791,8410,0.188,0.189,0
7801,8474,0.187,0.189,0
7811,8494,0.187,0.189,0
7821,8511,0.187,0.189,0
7831,8529,0.187,0.189,0
7841,8502,0.188,0.189,0
7851,8518,0.188,0.189,0
7861,8532,0.188,0.189,0
7871,8548,0.188,0.189,0
7881,8564,0.188,0.189,0
7891,8578,0.188,0.189,0
7901,8593,0.188,0.189,0
7911,8607,0.188,0.189,0
7921,8620,0.188,0.189,0
7931,8635,0.188,0.189,0
7941,8649,0.188,0.189,0
7951,8662,0.188,0.189,0
7961,8676,0.188,0.189,0
7971,8689,0.188,0.189,0
7981,8703,0.188,0.189,0
7991,8716,0.188,0.189,0
8001,8730,0.188,0.189,0
8011,8743,0.188,0.189,0
8021,8757,0.188,0.189,0
