bullet_cnt,fric1_rpm,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set
2,4888,2,0,254215,254215
2,4877,2,0,254215,254215
2,4867,2,0,254215,254215
2,4932,2,0,254215,254215
2,4867,2,0,254215,254215
2,4896,2,0,254215,254215
2,4882,2,0,254215,254215
2,4846,2,0,254215,254215
2,4909,2,0,254215,254215
2,4859,2,0,254215,254215
2,4890,2,0,254215,254215
2,4890,2,0,254215,254215
2,4865,2,0,254215,254215
2,4913,2,0,254215,254215
2,4871,2,0,254215,254215
2,4890,2,0,254215,254215
2,4879,2,0,254215,254215
2,4884,2,0,254215,254215
2,4848,2,0,254215,254215
2,4911,2,0,254215,254215
2,4859,2,0,254215,254215
2,4888,2,0,254215,254215
2,4890,2,0,254215,254215
2,4867,2,0,254215,254215
2,4915,2,0,254215,254215
2,4869,2,0,254215,254215
2,4892,2,0,254215,254215
2,4879,2,0,254215,254215
2,4886,2,0,254215,254215
2,4905,2,0,254215,254215
2,4882,2,0,254215,254215
2,4898,2,0,254215,254215
2,4871,2,0,254215,254215
2,4892,2,0,254215,254215
2,4865,2,0,254215,254215
2,4917,2,0,254215,254215
2,4871,2,0,254215,254215
2,4892,2,0,254215,254215
2,4882,2,0,254215,254215
2,4884,2,0,254215,254215
2,4905,2,0,254215,254215
2,4882,2,0,254215,254215
2,4896,2,0,254215,254215
2,4873,2,0,254215,254215
2,4873,2,0,254215,254215
2,4900,2,0,254215,254215
2,4869,2,0,254215,254215
2,4915,2,0,254215,254215
2,4882,2,0,254215,254215
2,4884,2,0,254215,254215
2,4884,2,0,254215,254215
2,4905,2,0,254215,254215
2,4882,2,0,254215,254215
2,4894,2,0,254215,254215
2,4877,2,0,254215,254215
2,4873,2,0,254215,254215
2,4905,2,0,254215,254215
2,4869,2,0,254215,254215
2,4909,2,0,254215,254215
2,4884,2,0,254215,254215
2,4879,2,0,254215,254215
2,4911,2,0,254215,254215
2,4842,2,0,254215,254215
2,4900,2,0,254215,254215
2,4892,2,0,254215,254215
2,4882,2,0,254215,254215
2,4871,2,0,254215,254215
2,4905,2,0,254215,254215
2,4869,2,0,254215,254215
2,4911,2,0,254215,254215
2,4886,2,0,254215,254215
2,4877,2,0,254215,254215
2,4911,2,0,254215,254215
2,4844,2,0,254215,254215
2,4898,2,0,254215,254215
2,4871,2,0,254215,254215
2,4879,2,0,254215,254215
2,4926,2,0,254215,254215
2,4856,2,0,254215,254215
2,4896,2,0,254215,254215
2,4907,2,0,254215,254215
2,4888,2,0,254215,254215
2,4882,2,0,254215,254215
2,4915,2,0,254215,254215
2,4844,2,0,254215,254215
2,4898,2,0,254215,254215
2,4871,2,0,254215,254215
2,4877,2,0,254215,254215
2,4926,2,0,254215,254215
2,4856,2,0,254215,254215
2,4892,2,0,254215,254215
2,4875,2,0,254215,254215
2,4867,2,0,254215,254215
2,4932,2,0,254215,254215
2,4869,2,0,254215,254215
2,4900,2,0,254215,254215
2,4898,2,0,254215,254215
2,4873,2,0,254215,254215
2,4879,2,0,254215,254215
2,4926,2,0,254215,254215
2,4856,2,0,254215,254215
2,4892,2,0,254215,254215
2,4877,2,0,254215,254215
2,4865,2,0,254215,254215
2,4932,2,0,254215,254215
2,4867,2,0,254215,254215
2,4898,2,0,254215,254215
2,4879,2,0,254215,254215
2,4848,2,0,254215,254215
2,4909,2,0,254215,254215
2,4859,2,0,254215,254215
2,4888,2,0,254215,254215
2,4888,2,0,254215,254215
2,4877,2,0,254215,254215
2,4863,2,0,254215,254215
2,4932,2,0,254215,254215
2,4867,2,0,254215,254215
2,4900,2,0,254215,254215
2,4882,2,0,254215,254215
2,4846,2,0,254215,254215
2,4907,2,0,254215,254215
2,4856,2,0,254215,254215
2,4886,2,0,254215,254215
2,4890,2,0,254215,254215
2,4865,2,0,254215,254215
2,4915,2,0,254215,254215
2,4873,2,0,254215,254215
2,4867,2,0,254215,254215
2,4896,2,0,254215,254215
2,4886,2,0,254215,254215
2,4846,2,0,254215,254215
2,4907,2,0,254215,254215
2,4856,2,0,254215,254215
2,4886,2,0,254215,254215
2,4894,2,0,254215,254215
2,4867,2,0,254215,254215
2,4915,2,0,254215,254215
2,4871,2,0,254215,254215
2,4890,2,0,254215,254215
2,4882,2,0,254215,254215
2,4882,2,0,254215,254215
2,4907,2,0,254215,254215
2,4884,2,0,254215,254215
2,4859,2,0,254215,254215
2,4888,2,0,254215,254215
2,4896,2,0,254215,254215
2,4867,2,0,254215,254215
2,4915,2,0,254215,254215
2,4871,2,0,254215,254215
