bullet_cnt,fric1_rpm,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-5,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,2,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-5,0,0,142452,142452,0.0
2,-5,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,2,0,0,142452,142452,0.0
2,-5,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-5,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-5,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-5,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-5,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,2,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,4,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,2,0,0,142452,142452,0.0
2,-5,0,0,142452,142452,0.0
2,2,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-5,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-5,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,2,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
2,-3,0,0,142452,142452,0.0
2,0,0,0,142452,142452,0.0
