pitch_cur,pitch_rel,pitch_rel_set
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.231,1.595
0,-0.23,1.595
0,-0.23,1.595
0,-0.231,1.595
0,-0.23,1.595
