pitch_cur,pitch_mode,pitch_rel,pitch_rel_set,rc_ch1,rc_ch3
10326,2,-0.171,0.189,0,-660
10324,2,-0.171,0.189,0,-660
10327,2,-0.171,0.189,0,-660
10321,2,-0.171,0.189,0,-660
10321,2,-0.171,0.189,0,-660
10320,2,-0.171,0.189,0,-660
10324,2,-0.171,0.189,0,-660
10324,2,-0.171,0.189,0,-660
10325,2,-0.171,0.189,0,-660
10370,2,-0.172,0.189,0,-660
10325,2,-0.171,0.189,0,-660
10325,2,-0.171,0.189,0,-660
10324,2,-0.171,0.189,0,-660
10324,2,-0.171,0.189,0,-660
10326,2,-0.171,0.189,0,-660
10326,2,-0.171,0.189,0,-660
10371,2,-0.172,0.189,0,-660
10370,2,-0.172,0.189,0,-660
10326,2,-0.171,0.189,0,-660
10325,2,-0.171,0.189,0,-660
10324,2,-0.171,0.189,0,-660
10370,2,-0.172,0.189,0,-660
10325,2,-0.171,0.189,0,-660
10325,2,-0.171,0.189,0,-660
10370,2,-0.172,0.189,0,-660
10323,2,-0.171,0.189,0,-660
10325,2,-0.171,0.189,0,-660
10325,2,-0.171,0.189,0,-660
10325,2,-0.171,0.189,0,-660
10325,2,-0.171,0.189,0,-660
10325,2,-0.171,0.189,0,-660
10325,2,-0.171,0.189,0,-660
10325,2,-0.171,0.189,0,-660
10326,2,-0.171,0.189,0,-660
10326,2,-0.171,0.189,0,-660
10324,2,-0.171,0.189,0,-660
10325,2,-0.171,0.189,0,-660
10326,2,-0.171,0.189,0,-660
10372,2,-0.172,0.189,0,-660
10327,2,-0.171,0.189,0,-660
10326,2,-0.171,0.189,0,-660
10326,2,-0.171,0.189,0,-660
10369,2,-0.172,0.189,0,-660
10321,2,-0.171,0.189,0,-660
10324,2,-0.171,0.189,0,-660
10325,2,-0.171,0.189,0,-660
10325,2,-0.171,0.189,0,-660
10325,2,-0.171,0.189,0,-660
10371,2,-0.172,0.189,0,-660
10322,2,-0.171,0.189,0,-660
10326,2,-0.171,0.189,0,-660
10327,2,-0.171,0.189,0,-660
10323,2,-0.171,0.189,0,-660
10322,2,-0.171,0.189,0,-660
10324,2,-0.171,0.189,0,-660
10323,2,-0.171,0.189,0,-660
10326,2,-0.171,0.189,0,-660
10371,2,-0.172,0.189,0,-660
10326,2,-0.171,0.189,0,-660
10326,2,-0.171,0.189,0,-660
10326,2,-0.171,0.189,0,-660
10327,2,-0.171,0.189,0,-660
10326,2,-0.171,0.189,0,-660
10327,2,-0.171,0.189,0,-660
10325,2,-0.171,0.189,0,-660
10370,2,-0.172,0.189,0,-660
10322,2,-0.171,0.189,0,-660
10326,2,-0.171,0.189,0,-660
10326,2,-0.171,0.189,0,-660
10327,2,-0.171,0.189,0,-660
10326,2,-0.171,0.189,0,-660
10327,2,-0.171,0.189,0,-660
10328,2,-0.171,0.189,0,-660
10370,2,-0.172,0.189,0,-660
10326,2,-0.171,0.189,0,-660
