event_bits,evt_dial_neg,evt_dial_pos,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0,0,0.0,1,3,2,72976,0,1459563,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,72977,0,1459583,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,72978,0,1459603,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,72979,0,1459623,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,72980,0,1459643,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,72981,0,1459663,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,72982,0,1459683,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,72983,0,1459703,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,72984,0,1459723,0,0.0,0
1048832,0,0,1,1,0,2,0.0,1,3,2,72985,0,1459743,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,72986,0,1459763,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,72987,0,1459783,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,72988,0,1459803,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,72989,0,1459823,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,72990,0,1459843,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,72991,0,1459863,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,72992,0,1459883,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,72993,0,1459903,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,72994,0,1459923,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,72995,0,1459943,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,72996,0,1459963,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,72997,0,1459983,0,0.0,0
