event_bits,evt_cmd_vt03_trigger,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,1,0,1,0,0,0.0,1,3,2,65517,0,1310383,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65518,0,1310403,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65519,0,1310423,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65520,0,1310443,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65521,0,1310463,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65522,0,1310483,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65523,0,1310503,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65524,0,1310523,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65525,0,1310543,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65526,0,1310563,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65527,0,1310583,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65528,0,1310603,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65529,0,1310623,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65530,0,1310643,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65531,0,1310663,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65532,0,1310683,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65533,0,1310703,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65534,0,1310723,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65535,0,1310743,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65536,0,1310763,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65537,0,1310783,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65538,0,1310803,0,0.0,0
1048832,0,1,0,1,0,2,0.0,1,3,2,65539,0,1310823,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65540,0,1310843,0,0.0,0
1048832,0,1,0,1,0,2,0.0,1,3,2,65541,0,1310863,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65542,0,1310883,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65543,0,1310903,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65544,0,1310923,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65545,0,1310943,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65546,0,1310963,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65547,0,1310983,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65548,0,1311003,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65549,0,1311023,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65550,0,1311043,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65551,0,1311063,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65552,0,1311083,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65553,0,1311103,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65554,0,1311123,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65555,0,1311143,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65556,0,1311163,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65557,0,1311183,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65558,0,1311203,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65559,0,1311223,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65560,0,1311243,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65561,0,1311263,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65562,0,1311283,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65563,0,1311303,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65564,0,1311323,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65565,0,1311343,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65566,0,1311363,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65567,0,1311383,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65568,0,1311403,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65569,0,1311423,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65570,0,1311443,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65571,0,1311463,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65572,0,1311483,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65573,0,1311503,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65574,0,1311523,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65575,0,1311543,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65576,0,1311563,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65577,0,1311583,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65578,0,1311603,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65579,0,1311623,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65580,0,1311643,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65581,0,1311663,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65582,0,1311683,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65583,0,1311703,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65584,0,1311723,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65585,0,1311743,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65586,0,1311763,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65587,0,1311783,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65588,0,1311803,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65589,0,1311823,0,0.0,0
1048832,0,1,0,1,0,-5,0.0,1,3,2,65590,0,1311843,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65591,0,1311863,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65592,0,1311883,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65593,0,1311903,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65594,0,1311923,0,0.0,0
1048832,0,1,0,1,0,2,0.0,1,3,2,65595,0,1311943,0,0.0,0
1048832,0,1,0,1,0,-5,0.0,1,3,2,65596,0,1311963,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65597,0,1311983,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65598,0,1312003,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65599,0,1312023,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65600,0,1312043,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65601,0,1312063,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65602,0,1312083,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65603,0,1312103,0,0.0,0
1048832,0,1,0,1,0,-5,0.0,1,3,2,65604,0,1312123,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65605,0,1312143,0,0.0,0
1048832,0,1,0,1,0,-5,0.0,1,3,2,65606,0,1312163,0,0.0,0
1048832,0,1,0,1,0,2,0.0,1,3,2,65607,0,1312183,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65608,0,1312203,0,0.0,0
1048832,0,1,0,1,0,2,0.0,1,3,2,65609,0,1312223,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65610,0,1312243,0,0.0,0
1048832,0,1,0,1,0,2,0.0,1,3,2,65611,0,1312263,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65612,0,1312283,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65613,0,1312303,0,0.0,0
1048832,0,1,0,1,0,-5,0.0,1,3,2,65614,0,1312323,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65615,0,1312343,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65616,0,1312363,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65617,0,1312383,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65618,0,1312403,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65619,0,1312423,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65620,0,1312443,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65621,0,1312463,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65622,0,1312483,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65623,0,1312503,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65624,0,1312523,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65625,0,1312543,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65626,0,1312563,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65627,0,1312583,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65628,0,1312603,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65629,0,1312623,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65630,0,1312643,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65631,0,1312663,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65632,0,1312683,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65633,0,1312703,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65634,0,1312723,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65635,0,1312743,0,0.0,0
1048832,0,1,0,1,0,-5,0.0,1,3,2,65636,0,1312763,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65637,0,1312783,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65638,0,1312803,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65639,0,1312823,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65640,0,1312843,0,0.0,0
1050880,0,1,1,1,0,-3,0.0,1,3,2,65641,0,1312863,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65642,0,1312883,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65643,0,1312903,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65644,0,1312923,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65645,0,1312943,0,0.0,0
1050880,0,1,1,1,0,-3,0.0,1,3,2,65646,0,1312963,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65647,0,1312983,0,0.0,0
1050880,0,1,1,1,0,-3,0.0,1,3,2,65648,0,1313003,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65649,0,1313023,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65650,0,1313043,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65651,0,1313063,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65652,0,1313083,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65653,0,1313103,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65654,0,1313123,0,0.0,0
