bullet_cnt,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
153,0.0,2,-834,25434256,25434256,-0.376
153,0.0,2,-1135,25433268,25433268,-0.817
153,0.0,2,-1141,25430580,25430580,-2.288
153,0.0,2,-1206,25426854,25426854,-2.958
153,0.0,2,-1166,25421844,25421844,-3.84
153,0.0,2,-1406,25417322,25417322,-3.148
153,0.0,2,-96,25415422,25415422,-0.459
153,0.0,2,88,25416106,25416106,0.558
153,0.0,2,531,25416502,25416502,0.294
153,0.0,2,998,25416552,25416552,0.021
153,0.0,2,1193,25417486,25417486,1.003
153,0.0,2,1156,25420480,25420480,2.515
153,0.0,2,1410,25423540,25423540,2.338
153,0.0,2,1521,25427092,25427092,2.816
153,0.0,2,1646,25431082,25431082,3.058
153,0.0,2,1756,25435474,25435474,3.157
153,0.0,2,2761,25435464,25435464,-0.085
153,0.0,2,3180,25435464,25435464,0.001
153,0.0,2,3600,25435464,25435464,0.0
153,0.0,2,4035,25435468,25435468,0.002
153,0.0,2,4469,25435472,25435472,0.004
153,0.0,2,4898,25435508,25435508,0.028
153,0.0,2,5285,25435688,25435688,0.142
153,0.0,2,5727,25435716,25435716,0.017
153,0.0,2,5950,25435956,25435956,0.248
153,0.0,2,5961,25436244,25436244,0.193
153,0.0,2,4909,25441096,25441096,5.447
153,0.0,2,3301,25455284,25455284,11.808
153,0.0,2,2173,25473024,25473024,13.995
153,0.0,2,1461,25490870,25490870,14.058
153,0.0,2,757,25509868,25509868,13.677
153,0.0,2,547,25525470,25525470,11.7
153,0.0,2,225,25539858,25539858,10.671
153,0.0,2,1192,25547792,25547792,4.41
153,0.0,2,1139,25553936,25553936,5.019
153,0.0,2,1105,25561184,25561184,5.135
153,0.0,2,1120,25568108,25568108,5.021
153,0.0,2,1267,25574158,25574158,4.355
153,0.0,2,1457,25579480,25579480,3.882
153,0.0,2,2337,25581344,25581344,0.582
153,0.0,2,2886,25581344,25581344,-0.011
153,0.0,2,3313,25581380,25581380,0.025
153,0.0,2,3711,25581496,25581496,0.111
153,0.0,2,4098,25581666,25581666,0.159
153,0.0,2,4411,25582208,25582208,0.48
153,0.0,2,4813,25582696,25582696,0.323
153,0.0,2,5066,25583728,25583728,0.982
153,0.0,2,3779,25592294,25592294,7.755
153,0.0,2,2512,25598828,25598828,11.972
153,0.0,2,1828,25615424,25615424,12.118
153,0.0,2,1128,25631828,25631828,12.608
153,0.0,2,694,25648180,25648180,11.655
153,0.0,2,1013,25659180,25659180,8.312
153,0.0,2,868,25669468,25669468,7.754
153,0.0,2,847,25678722,25678722,6.869
153,0.0,2,1381,25684644,25684644,3.929
153,0.0,2,2495,25685142,25685142,-0.029
153,0.0,2,2892,25685290,25685290,0.15
153,0.0,2,3015,25686740,25686740,1.46
153,0.0,2,2430,25692752,25692752,5.086
153,0.0,2,2056,25701374,25701374,6.541
153,0.0,2,1686,25711684,25711684,7.507
153,0.0,2,1649,25721114,25721114,6.606
153,0.0,2,3226,25721752,25721752,-0.155
153,0.0,2,3620,25721752,25721752,0.001
153,0.0,2,4025,25721752,25721752,0.0
153,0.0,2,4445,25721752,25721752,0.0
153,0.0,2,4865,25721752,25721752,0.0
153,0.0,2,5266,25721774,25721774,0.016
153,0.0,2,5684,25721802,25721802,0.02
153,0.0,2,5991,25721858,25721858,0.044
153,0.0,2,6000,25721886,25721886,-0.001
153,0.0,2,5999,25721886,25721886,0.0
153,0.0,2,5999,25721890,25721890,0.003
153,0.0,2,6000,25721890,25721890,0.0
153,0.0,2,5999,25721890,25721890,0.0
153,0.0,2,6000,25721892,25721892,0.0
153,0.0,2,5999,25721892,25721892,0.0
153,0.0,2,6000,25721896,25721896,0.0
153,0.0,2,5999,25721896,25721896,0.0
153,0.0,2,6000,25721896,25721896,0.0
153,0.0,2,5999,25721900,25721900,0.003
153,0.0,2,6000,25721900,25721900,0.0
153,0.0,2,5999,25721900,25721900,0.0
153,0.0,2,5999,25721902,25721902,0.002
153,0.0,2,6000,25721902,25721902,0.0
153,0.0,2,6000,25721902,25721902,0.0
153,0.0,2,5999,25721906,25721906,0.004
153,0.0,2,3835,25721904,25721904,-0.003
153,0.0,2,3433,25721894,25721894,-0.013
153,0.0,2,3014,25721880,25721880,-0.011
153,0.0,2,2597,25721860,25721860,-0.023
153,0.0,2,2193,25721782,25721782,-0.082
153,0.0,2,1765,25721760,25721760,-0.028
153,0.0,2,1358,25721680,25721680,-0.067
153,0.0,2,953,25721520,25721520,-0.176
153,0.0,2,504,25721446,25721446,-0.071
153,0.0,2,110,25721172,25721172,-0.189
153,0.0,2,-360,25721172,25721172,0.002
153,0.0,2,-781,25721120,25721120,-0.058
153,0.0,2,-1065,25720506,25720506,-0.628
153,0.0,2,-1120,25718240,25718240,-1.994
153,0.0,2,-1153,25714322,25714322,-2.892
153,0.0,2,-1159,25709566,25709566,-3.618
153,0.0,2,-1155,25704230,25704230,-4.106
153,0.0,2,-1886,25701328,25701328,-1.055
153,0.0,2,32,25701808,25701808,0.482
153,0.0,2,415,25702502,25702502,0.436
153,0.0,2,909,25702598,25702598,-0.011
153,0.0,2,1270,25702844,25702844,0.267
153,0.0,2,1199,25705136,25705136,2.159
153,0.0,2,1348,25708492,25708492,2.454
153,0.0,2,1514,25712080,25712080,2.659
153,0.0,2,1595,25716252,25716252,3.172
153,0.0,2,1627,25720972,25720972,3.681
153,0.0,2,2670,25721768,25721768,-0.118
153,0.0,2,3085,25721766,25721766,0.001
153,0.0,2,3505,25721766,25721766,0.0
153,0.0,2,3940,25721768,25721768,0.0
153,0.0,2,4374,25721776,25721776,0.002
153,0.0,2,4792,25721790,25721790,0.008
153,0.0,2,5209,25721820,25721820,0.02
153,0.0,2,5606,25721924,25721924,0.114
153,0.0,2,5981,25722024,25722024,0.091
153,0.0,2,5970,25722260,25722260,0.147
153,0.0,2,6000,25722306,25722306,-0.004
153,0.0,2,5998,25722314,25722314,0.007
153,0.0,2,5998,25722328,25722328,0.008
153,0.0,2,5998,25722338,25722338,0.005
153,0.0,2,5999,25722348,25722348,0.004
153,0.0,2,5999,25722356,25722356,0.002
153,0.0,2,5998,25722360,25722360,0.005
153,0.0,2,6000,25722360,25722360,0.0
153,0.0,2,5999,25722364,25722364,0.001
153,0.0,2,6000,25722364,25722364,0.0
153,0.0,2,5999,25722368,25722368,0.001
153,0.0,2,5999,25722370,25722370,0.0
153,0.0,2,6000,25722372,25722372,0.0
153,0.0,2,5999,25722372,25722372,0.0
153,0.0,2,5999,25722376,25722376,0.002
153,0.0,2,3747,25722368,25722368,-0.009
153,0.0,2,3315,25722348,25722348,-0.02
153,0.0,2,2895,25722332,25722332,-0.014
153,0.0,2,2482,25722296,25722296,-0.035
153,0.0,2,2078,25722258,25722258,-0.029
153,0.0,2,1658,25722232,25722232,-0.014
153,0.0,2,1236,25722174,25722174,-0.066
153,0.0,2,831,25722048,25722048,-0.11
153,0.0,2,430,25721848,25721848,-0.131
153,0.0,2,19,25721716,25721716,-0.139
153,0.0,2,-407,25721612,25721612,-0.057
153,0.0,2,-738,25721172,25721172,-0.419
153,0.0,2,-1057,25720354,25720354,-0.687
153,0.0,2,-1140,25726480,25726480,-1.88
153,0.0,2,-1208,25722880,25722880,-2.704
153,0.0,2,-1162,25718132,25718132,-3.713
153,0.0,2,-1065,25712094,25712094,-4.538
153,0.0,2,-2046,25709368,25709368,-0.296
153,0.0,2,85,25710048,25710048,0.664
153,0.0,2,531,25710704,25710704,0.372
153,0.0,2,1027,25710798,25710798,-0.007
153,0.0,2,1293,25711416,25711416,0.696
153,0.0,2,1196,25714480,25714480,2.555
153,0.0,2,1433,25717700,25717700,2.428
153,0.0,2,1513,25721356,25721356,2.957
153,0.0,2,1534,25725956,25725956,3.577
153,0.0,2,1611,25730510,25730510,3.677
153,0.0,2,2709,25730500,25730500,-0.114
153,0.0,2,3108,25730500,25730500,-0.001
153,0.0,2,3528,25730500,25730500,0.0
153,0.0,2,3947,25730508,25730508,0.002
153,0.0,2,4364,25730532,25730532,0.016
153,0.0,2,4782,25730556,25730556,0.018
153,0.0,2,5200,25730584,25730584,0.02
153,0.0,2,5565,25730844,25730844,0.241
153,0.0,2,5972,25731068,25731068,0.139
153,0.0,2,5995,25731132,25731132,0.021
153,0.0,2,5998,25731156,25731156,0.007
153,0.0,2,5998,25731168,25731168,0.008
153,0.0,2,5998,25731184,25731184,0.008
153,0.0,2,5996,25731206,25731206,0.018
153,0.0,2,5992,25731252,25731252,0.038
153,0.0,2,5999,25731270,25731270,0.0
153,0.0,2,5998,25731282,25731282,0.009
153,0.0,2,5953,25731528,25731528,0.233
