bullet_cnt,fric1_rpm,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
0,0,0,0,-3842,0
