event_bits,evt_dial_neg,evt_dial_pos,evt_fn1_cur,evt_fn2_cur,evt_pause_cur,evt_trigger_cur,evt_vt03_online,fric_set,rc_s0,rc_s1,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,0,0,0,0,1,0.0,3,2,0,637803,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,637823,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,637843,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,637863,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,637883,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,637903,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,637923,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,637943,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,637963,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,637983,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638003,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638023,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638043,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638063,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638083,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638103,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638123,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638143,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638163,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638183,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638203,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638223,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638243,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638263,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638283,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638303,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638323,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638343,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638363,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638383,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638403,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638423,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638443,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638463,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638483,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638503,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638523,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638543,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638563,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638583,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638603,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638623,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638643,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638663,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638683,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638703,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638723,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638743,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638763,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638783,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638803,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638823,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,638843,0,0.0,0
