pitch_cur,pitch_gyro,pitch_rel,pitch_rel_set
-3148,0.0,-0.23,-0.174
-3148,0.0,-0.23,-0.174
-3147,-0.001,-0.23,-0.174
-3148,0.0,-0.23,-0.174
-3148,0.0,-0.23,-0.174
-3148,0.0,-0.23,-0.174
-3148,0.0,-0.23,-0.174
-3148,0.0,-0.23,-0.174
-3148,0.0,-0.23,-0.174
-3148,0.0,-0.23,-0.174
-3148,0.0,-0.23,-0.174
-3148,0.0,-0.23,-0.174
-3147,0.0,-0.23,-0.174
-3146,0.0,-0.23,-0.173
-3143,0.0,-0.23,-0.173
-3139,0.0,-0.23,-0.171
-3132,0.0,-0.23,-0.169
-3124,0.0,-0.23,-0.167
-3114,0.0,-0.23,-0.164
-3102,-0.001,-0.23,-0.16
-3090,0.0,-0.23,-0.156
-3076,0.0,-0.23,-0.152
-3062,0.0,-0.23,-0.147
-3046,0.0,-0.23,-0.142
-3030,0.0,-0.23,-0.137
-3013,0.0,-0.23,-0.132
-2995,0.0,-0.23,-0.126
-2973,0.0,-0.23,-0.121
-2945,0.0,-0.23,-0.114
-2911,0.0,-0.23,-0.108
-2870,0.0,-0.23,-0.101
-2823,-0.001,-0.23,-0.094
-2771,0.0,-0.23,-0.087
-2711,-0.001,-0.23,-0.08
-2647,0.0,-0.23,-0.072
-2575,-0.002,-0.23,-0.065
-2497,-0.003,-0.23,-0.057
-2442,0.026,-0.229,-0.05
-2344,0.014,-0.229,-0.042
-2243,0.006,-0.229,-0.034
-2137,0.002,-0.229,-0.026
-2024,-0.002,-0.229,-0.018
-1903,-0.005,-0.229,-0.009
-1778,-0.002,-0.229,0.0
-1641,-0.005,-0.229,0.008
-1499,-0.003,-0.229,0.018
-1347,-0.006,-0.229,0.027
-1219,0.027,-0.228,0.037
-1016,-0.013,-0.229,0.047
-873,0.021,-0.228,0.057
-683,0.011,-0.228,0.067
-490,0.009,-0.228,0.077
-288,0.004,-0.228,0.087
-77,0.001,-0.228,0.097
107,0.037,-0.227,0.108
346,0.015,-0.227,0.118
562,0.029,-0.227,0.129
742,0.08,-0.224,0.14
981,0.064,-0.223,0.151
1195,0.058,-0.221,0.154
1363,0.091,-0.219,0.154
1452,0.199,-0.214,0.154
1646,0.163,-0.211,0.154
1865,0.118,-0.21,0.154
2047,0.113,-0.207,0.154
2126,0.205,-0.202,0.154
2232,0.247,-0.197,0.154
2277,0.328,-0.189,0.154
2268,0.438,-0.179,0.154
2263,0.511,-0.168,0.154
2285,0.526,-0.158,0.154
2279,0.555,-0.146,0.154
2278,0.561,-0.134,0.154
2251,0.578,-0.122,0.154
2183,0.627,-0.109,0.154
2178,0.592,-0.098,0.154
2098,0.631,-0.085,0.154
2075,0.592,-0.073,0.154
1973,0.634,-0.06,0.154
1925,0.604,-0.049,0.154
1858,0.591,-0.037,0.154
1728,0.631,-0.024,0.154
1632,0.616,-0.012,0.154
1525,0.602,0.0,0.154
1423,0.582,0.011,0.154
1375,0.51,0.02,0.154
1372,0.402,0.027,0.154
1430,0.254,0.031,0.154
1447,0.186,0.034,0.154
1568,0.029,0.033,0.154
1570,0.032,0.034,0.154
1591,0.022,0.034,0.154
1608,0.018,0.034,0.154
1626,0.013,0.034,0.154
1644,0.008,0.034,0.154
1660,0.006,0.034,0.154
1710,-0.035,0.033,0.154
1690,0.005,0.034,0.154
1704,0.006,0.034,0.154
1721,0.002,0.034,0.154
1737,0.0,0.034,0.154
1751,0.001,0.034,0.154
1766,0.0,0.034,0.154
1781,0.0,0.034,0.154
1796,0.0,0.034,0.154
1810,0.0,0.034,0.154
1825,0.0,0.034,0.154
1839,0.0,0.034,0.154
1854,0.0,0.034,0.154
1869,0.0,0.034,0.154
1883,0.0,0.034,0.154
1898,0.0,0.034,0.154
1913,0.0,0.034,0.154
1927,0.0,0.034,0.154
1942,0.0,0.034,0.154
1956,0.0,0.034,0.154
1971,0.0,0.034,0.154
1986,0.0,0.034,0.154
2001,-0.001,0.034,0.154
2015,0.0,0.034,0.154
1996,0.038,0.035,0.154
2046,-0.003,0.034,0.154
2062,-0.005,0.034,0.154
2079,-0.009,0.034,0.154
2095,-0.012,0.034,0.154
2078,0.021,0.035,0.154
2097,0.014,0.035,0.154
2113,0.01,0.035,0.154
2128,0.01,0.035,0.154
2145,0.004,0.035,0.154
2161,0.001,0.035,0.154
2175,0.0,0.035,0.154
2190,0.0,0.035,0.154
2204,0.0,0.035,0.154
2218,0.0,0.035,0.154
2233,-0.001,0.035,0.154
2218,0.028,0.036,0.154
2272,-0.021,0.035,0.154
2288,-0.025,0.035,0.154
2272,0.006,0.036,0.154
2288,0.003,0.036,0.154
2302,0.001,0.036,0.154
2316,0.0,0.036,0.154
2329,0.0,0.036,0.154
2343,0.0,0.036,0.154
2335,0.017,0.036,0.154
2355,0.006,0.036,0.154
2370,0.002,0.036,0.154
2383,0.0,0.036,0.154
2397,0.0,0.036,0.154
2409,0.0,0.036,0.154
2422,0.0,0.036,0.154
2435,0.0,0.036,0.154
2448,0.0,0.036,0.154
2461,0.0,0.036,0.154
2473,0.0,0.036,0.154
2486,0.0,0.036,0.154
2501,-0.002,0.036,0.154
2492,0.015,0.037,0.154
2510,0.005,0.037,0.154
2526,-0.001,0.037,0.154
2538,0.0,0.037,0.154
2551,-0.001,0.037,0.154
2563,-0.002,0.037,0.154
2578,-0.008,0.037,0.154
2560,0.025,0.038,0.154
2573,0.023,0.038,0.154
2624,-0.025,0.037,0.154
2601,0.015,0.038,0.154
2616,0.009,0.038,0.154
2629,0.007,0.038,0.154
2644,0.002,0.038,0.154
2657,0.0,0.038,0.154
2669,0.0,0.038,0.154
2681,-0.001,0.038,0.154
2695,-0.005,0.038,0.154
2707,-0.006,0.038,0.154
2726,-0.019,0.038,0.154
2707,0.012,0.039,0.154
2722,0.006,0.039,0.154
2735,0.002,0.039,0.154
2747,0.0,0.039,0.154
2758,0.0,0.039,0.154
2737,0.036,0.039,0.154
2761,0.013,0.039,0.154
2756,0.021,0.04,0.154
2774,0.007,0.04,0.154
2787,0.002,0.04,0.154
2798,0.0,0.04,0.154
2809,-0.001,0.04,0.154
2825,-0.012,0.04,0.154
2807,0.015,0.041,0.154
2822,0.005,0.041,0.154
2834,0.002,0.041,0.154
2842,0.0,0.041,0.154
2850,0.0,0.041,0.153
2856,0.0,0.041,0.153
2861,0.0,0.041,0.152
2862,0.0,0.041,0.15
2861,0.0,0.041,0.148
2856,0.0,0.041,0.146
2846,0.0,0.041,0.142
2831,0.0,0.041,0.138
2810,0.0,0.041,0.133
2783,-0.001,0.041,0.128
2750,-0.001,0.041,0.122
2709,-0.002,0.041,0.115
2659,-0.001,0.041,0.108
2602,-0.001,0.041,0.1
2537,0.0,0.041,0.091
2463,0.0,0.041,0.082
2382,0.0,0.041,0.073
2292,0.0,0.041,0.064
2194,0.0,0.041,0.054
2087,0.0,0.041,0.044
1972,0.0,0.041,0.034
1847,0.0,0.041,0.024
1712,0.0,0.041,0.013
1566,0.001,0.041,0.001
1433,-0.018,0.04,-0.009
1260,-0.006,0.04,-0.022
1075,0.005,0.04,-0.034
939,-0.047,0.039,-0.047
723,-0.017,0.039,-0.06
534,-0.034,0.038,-0.074
326,-0.035,0.037,-0.087
103,-0.028,0.036,-0.1
-102,-0.047,0.035,-0.113
-344,-0.041,0.034,-0.126
-594,-0.037,0.033,-0.14
-828,-0.061,0.032,-0.153
-1105,-0.045,0.031,-0.166
-1321,-0.082,0.029,-0.174
-1470,-0.151,0.025,-0.174
-1600,-0.214,0.019,-0.174
-1744,-0.248,0.014,-0.174
-1843,-0.312,0.007,-0.174
-1939,-0.356,0.0,-0.174
-1990,-0.43,-0.009,-0.174
-2040,-0.476,-0.019,-0.174
-2107,-0.482,-0.029,-0.174
-2114,-0.537,-0.04,-0.174
-2158,-0.533,-0.051,-0.174
-2113,-0.612,-0.064,-0.174
-2057,-0.674,-0.078,-0.174
-2017,-0.692,-0.092,-0.174
-1982,-0.681,-0.105,-0.174
-1878,-0.733,-0.121,-0.174
-1779,-0.757,-0.136,-0.174
