i1,i2,i3,i4,model_input,model_max,model_power,ref_chassis_power,ref_toe
271,318,1067,577,-40.0,120.0,36.45,6000,1
102,280,923,1152,-40.0,120.0,33.98,6000,0
170,175,1122,1116,-40.0,120.0,34.63,6000,0
182,201,1040,1180,-40.0,120.0,34.74,6000,0
156,227,1159,1131,-40.0,120.0,35.11,6000,0
543,109,1053,1026,-40.0,120.0,35.43,6000,0
481,228,833,1014,-40.0,120.0,34.54,6000,0
457,285,1063,1183,-40.0,120.0,36.76,6000,0
456,205,1231,1003,-40.0,120.0,35.05,6000,1
425,336,1261,884,-40.0,120.0,35.05,6000,1
468,492,918,934,-40.0,120.0,35.05,6000,1
505,287,830,1003,-40.0,120.0,34.9,6000,0
324,143,668,921,-40.0,120.0,31.92,6000,0
480,361,724,909,-40.0,120.0,34.12,6000,0
411,348,799,884,-40.0,120.0,33.96,6000,0
506,454,581,811,-40.0,120.0,33.46,6000,0
443,154,668,811,-40.0,120.0,32.03,6000,0
494,129,580,612,-40.0,120.0,30.64,6000,0
444,241,424,899,-40.0,120.0,31.65,6000,0
388,346,473,694,-40.0,120.0,31.1,6000,0
283,346,379,681,-40.0,120.0,29.97,6000,0
114,334,759,731,-40.0,120.0,31.3,6000,0
64,272,352,527,-40.0,120.0,27.46,6000,0
113,285,807,771,-40.0,120.0,31.5,6000,0
87,154,1019,672,-40.0,120.0,31.26,6000,0
61,311,757,785,-40.0,120.0,31.17,6000,0
179,349,1019,799,-40.0,120.0,33.43,6000,0
334,337,707,843,-40.0,120.0,32.8,6000,0
215,193,888,988,-40.0,120.0,33.11,6000,0
308,87,887,859,-40.0,120.0,32.36,6000,0
164,242,693,860,-40.0,120.0,31.41,6000,1
450,323,1136,1004,-40.0,120.0,31.41,6000,1
488,191,849,693,-40.0,120.0,31.41,6000,1
395,178,1067,731,-40.0,120.0,31.41,6000,1
358,71,1173,1112,-40.0,120.0,35.32,6000,0
253,283,1267,1199,-40.0,120.0,36.81,6000,0
527,308,1255,950,-40.0,120.0,37.04,6000,0
309,282,1318,1344,-40.0,120.0,38.09,6000,0
439,501,1069,901,-40.0,120.0,36.39,6000,0
164,271,839,887,-40.0,120.0,32.48,6000,0
319,252,983,1124,-40.0,120.0,37.05,6000,1
331,346,758,1125,-40.0,120.0,37.05,6000,1
262,415,496,1008,-40.0,120.0,37.05,6000,1
274,571,720,878,-40.0,120.0,37.05,6000,1
292,453,601,1010,-40.0,120.0,33.49,6000,0
236,572,615,1011,-40.0,120.0,33.89,6000,0
435,598,639,737,-40.0,120.0,33.77,6000,0
304,586,637,843,-40.0,120.0,33.57,6000,0
173,287,716,750,-40.0,120.0,31.25,6000,0
54,325,609,832,-40.0,120.0,30.67,6000,0
234,350,622,813,-40.0,120.0,31.73,6000,0
147,350,515,545,-40.0,120.0,29.29,6000,0
-40,420,426,713,-40.0,120.0,29.06,6000,0
233,145,620,513,-40.0,120.0,29.05,6000,0
339,245,701,738,-40.0,120.0,31.76,6000,0
327,288,583,881,-40.0,120.0,32.14,6000,0
352,325,557,607,-40.0,120.0,30.8,6000,0
327,169,831,857,-40.0,120.0,32.6,6000,0
196,113,701,608,-40.0,120.0,29.62,6000,0
434,243,644,658,-40.0,120.0,31.52,6000,0
210,168,819,571,-40.0,120.0,30.4,6000,0
248,324,512,608,-40.0,120.0,30.01,6000,0
354,180,698,933,-40.0,120.0,32.5,6000,0
223,155,673,597,-40.0,120.0,29.58,6000,1
354,274,816,716,-40.0,120.0,29.58,6000,1
115,325,1091,936,-40.0,120.0,29.58,6000,1
183,208,973,936,-40.0,120.0,29.58,6000,1
183,352,1091,1080,-40.0,120.0,35.3,6000,0
207,277,1154,1043,-40.0,120.0,35.17,6000,0
126,277,1179,1201,-40.0,120.0,35.67,6000,0
430,302,1141,1153,-40.0,120.0,36.97,6000,0
362,234,1072,1228,-40.0,120.0,36.28,6000,0
411,221,1091,1241,-40.0,120.0,36.63,6000,0
349,145,1190,1142,-40.0,120.0,35.88,6000,0
256,157,984,1036,-40.0,120.0,33.89,6000,0
288,194,997,1180,-40.0,120.0,35.05,6000,0
325,456,867,1180,-40.0,120.0,36.64,6000,1
313,231,891,1169,-40.0,120.0,36.64,6000,1
195,337,629,1013,-40.0,120.0,36.64,6000,1
1,387,724,726,-40.0,120.0,36.64,6000,1
-18,244,644,800,-40.0,120.0,29.87,6000,0
206,518,619,1130,-40.0,120.0,34.08,6000,0
193,275,544,712,-40.0,120.0,30.18,6000,0
125,444,463,656,-40.0,120.0,29.97,6000,0
123,351,644,713,-40.0,120.0,30.75,6000,0
167,563,644,989,-40.0,120.0,33.52,6000,0
154,533,570,1027,-40.0,120.0,33.1,6000,0
123,509,426,765,-40.0,120.0,30.68,6000,0
216,367,380,703,-40.0,120.0,29.86,6000,0
191,423,616,635,-40.0,120.0,30.93,6000,0
372,280,292,672,-40.0,120.0,36.61,6000,1
97,436,316,848,-40.0,120.0,36.61,6000,1
152,137,458,1004,-40.0,120.0,36.61,6000,1
283,238,576,792,-40.0,120.0,36.61,6000,0
488,163,838,492,-40.0,120.0,31.51,6000,0
295,138,863,753,-40.0,120.0,31.89,6000,0
227,293,626,910,-40.0,120.0,31.93,6000,0
227,118,925,1041,-40.0,120.0,33.25,6000,0
408,249,812,947,-40.0,120.0,33.82,6000,0
333,293,925,948,-40.0,120.0,34.25,6000,0
359,93,863,730,-40.0,120.0,31.87,6000,0
429,186,600,730,-40.0,120.0,31.34,6000,0
529,161,874,705,-40.0,120.0,33.04,6000,0
229,223,468,898,-40.0,120.0,28.63,6000,1
372,173,635,849,-40.0,120.0,28.63,6000,1
373,91,1053,1068,-40.0,120.0,28.63,6000,1
203,223,1134,900,-40.0,120.0,28.63,6000,1
240,262,965,995,-40.0,120.0,34.04,6000,0
252,343,1196,1083,-40.0,120.0,36.17,6000,0
371,368,1277,1178,-40.0,120.0,37.83,6000,0
408,344,1066,1048,-40.0,120.0,36.15,6000,0
370,238,1003,1143,-40.0,120.0,35.56,6000,0
213,238,1095,1143,-40.0,120.0,35.21,6000,0
281,594,896,1101,-40.0,120.0,36.18,6000,0
344,281,989,752,-40.0,120.0,33.55,6000,0
394,293,740,839,-40.0,120.0,33.04,6000,0
251,199,777,883,-40.0,120.0,37.16,6000,1
238,174,846,934,-40.0,120.0,37.16,6000,1
226,354,726,1078,-40.0,120.0,37.16,6000,1
226,404,789,1029,-40.0,120.0,37.16,6000,1
70,460,634,859,-40.0,120.0,31.75,6000,0
175,436,679,790,-40.0,120.0,32.05,6000,0
225,380,635,883,-40.0,120.0,32.29,6000,0
406,186,429,646,-40.0,120.0,29.87,6000,0
250,199,504,540,-40.0,120.0,28.94,6000,0
200,330,729,777,-40.0,120.0,31.82,6000,0
342,175,886,553,-40.0,120.0,31.39,6000,0
380,238,349,622,-40.0,120.0,29.45,6000,0
380,345,454,635,-40.0,120.0,30.65,6000,0
405,165,478,767,-40.0,120.0,30.65,6000,0
248,333,453,699,-40.0,120.0,30.23,6000,0
448,297,371,743,-40.0,120.0,30.87,6000,0
92,466,414,699,-40.0,120.0,29.88,6000,0
210,466,400,613,-40.0,120.0,29.98,6000,0
353,455,499,444,-40.0,120.0,30.3,6000,0
496,180,568,830,-40.0,120.0,32.01,6000,0
377,112,593,637,-40.0,120.0,30.15,6000,0
222,299,804,743,-40.0,120.0,32.0,6000,0
353,255,760,662,-40.0,120.0,31.79,6000,0
328,385,891,425,-40.0,120.0,31.76,6000,0
340,217,674,530,-40.0,120.0,36.19,6000,1
260,123,749,699,-40.0,120.0,36.19,6000,1
104,323,986,780,-40.0,120.0,36.19,6000,1
473,216,929,1029,-40.0,120.0,35.0,6000,0
317,122,1091,1054,-40.0,120.0,34.67,6000,0
235,253,1104,1224,-40.0,120.0,35.86,6000,0
260,384,1128,1174,-40.0,120.0,36.56,6000,0
104,647,972,1294,-40.0,120.0,36.89,6000,0
78,598,1102,1119,-40.0,120.0,36.29,6000,0
171,468,1103,914,-40.0,120.0,35.05,6000,0
258,480,903,940,-40.0,120.0,34.68,6000,0
314,325,840,1334,-40.0,120.0,35.85,6000,0
51,444,771,1060,-40.0,120.0,33.33,6000,0
181,325,983,1098,-40.0,120.0,34.7,6000,0
324,231,783,1037,-40.0,120.0,33.6,6000,0
362,256,746,968,-40.0,120.0,33.38,6000,0
243,99,759,775,-40.0,120.0,34.04,6000,1
312,205,914,1038,-40.0,120.0,34.04,6000,1
337,167,970,801,-40.0,120.0,34.04,6000,1
400,241,682,739,-40.0,120.0,34.04,6000,1
325,216,682,883,-40.0,120.0,32.2,6000,0
399,347,483,608,-40.0,120.0,30.77,6000,0
387,347,408,607,-40.0,120.0,30.3,6000,0
324,266,528,656,-40.0,120.0,29.63,6000,1
493,203,515,537,-40.0,120.0,29.63,6000,1
274,360,565,512,-40.0,120.0,29.63,6000,1
243,240,578,724,-40.0,120.0,29.63,6000,1
335,297,566,812,-40.0,120.0,31.69,6000,0
322,204,554,943,-40.0,120.0,31.75,6000,0
441,373,329,931,-40.0,120.0,31.99,6000,0
372,386,603,969,-40.0,120.0,33.5,6000,1
216,243,659,957,-40.0,120.0,33.5,6000,1
397,125,253,1327,-40.0,120.0,33.5,6000,1
284,144,656,897,-40.0,120.0,33.5,6000,1
308,232,767,697,-40.0,120.0,31.67,6000,0
227,326,549,709,-40.0,120.0,30.64,6000,0
383,208,754,971,-40.0,120.0,33.29,6000,0
439,114,729,933,-40.0,120.0,32.76,6000,0
414,339,1040,933,-40.0,120.0,35.45,6000,0
127,208,1146,1207,-40.0,120.0,35.21,6000,0
177,507,1315,933,-40.0,120.0,36.45,6000,0
252,650,1042,1157,-40.0,120.0,37.36,6000,0
241,288,992,1157,-40.0,120.0,35.16,6000,0
284,313,991,1113,-40.0,120.0,34.6,6000,1
298,313,1227,1013,-40.0,120.0,34.6,6000,1
61,144,1277,1088,-40.0,120.0,34.6,6000,1
416,218,1215,1089,-40.0,120.0,34.6,6000,1
297,218,1121,946,-40.0,120.0,34.66,6000,0
178,481,920,983,-40.0,120.0,34.57,6000,0
346,626,963,827,-40.0,120.0,35.62,6000,0
202,414,1002,1196,-40.0,120.0,35.86,6000,0
271,602,751,853,-40.0,120.0,34.13,6000,0
190,459,844,1042,-40.0,120.0,34.43,6000,0
283,378,775,886,-40.0,120.0,33.33,6000,0
251,272,750,949,-40.0,120.0,32.8,6000,0
487,340,620,831,-40.0,120.0,33.1,6000,0
238,272,476,781,-40.0,120.0,30.41,6000,0
188,115,569,745,-40.0,120.0,29.61,6000,0
438,433,556,714,-40.0,120.0,32.36,6000,0
294,258,530,902,-40.0,120.0,31.55,6000,0
488,195,555,690,-40.0,120.0,34.36,6000,1
107,182,649,547,-40.0,120.0,34.36,6000,1
188,156,581,602,-40.0,120.0,34.36,6000,1
281,350,413,820,-40.0,120.0,30.91,6000,0
294,313,388,795,-40.0,120.0,30.56,6000,0
394,231,477,781,-40.0,120.0,31.01,6000,0
344,269,426,756,-40.0,120.0,30.55,6000,0
356,158,557,743,-40.0,120.0,30.64,6000,0
236,233,608,1017,-40.0,120.0,32.12,6000,0
423,171,390,899,-40.0,120.0,31.0,6000,0
280,302,595,899,-40.0,120.0,32.04,6000,0
224,302,477,987,-40.0,120.0,31.57,6000,0
279,271,402,1212,-40.0,120.0,32.45,6000,0
148,235,282,1295,-40.0,120.0,32.84,6000,1
79,509,711,1002,-40.0,120.0,32.84,6000,1
134,417,1116,1021,-40.0,120.0,32.84,6000,1
159,549,960,858,-40.0,120.0,32.84,6000,1
233,356,1009,939,-40.0,120.0,34.45,6000,0
328,437,1008,845,-40.0,120.0,34.87,6000,0
91,656,1114,858,-40.0,120.0,35.34,6000,0
197,344,1033,1082,-40.0,120.0,35.04,6000,0
172,356,1351,975,-40.0,120.0,36.04,6000,0
172,250,1308,1224,-40.0,120.0,36.55,6000,0
435,225,1246,1030,-40.0,120.0,36.46,6000,0
292,293,1115,1018,-40.0,120.0,35.3,6000,0
161,186,1089,899,-40.0,120.0,33.37,6000,0
124,354,1414,1043,-40.0,120.0,36.44,6000,0
94,160,1140,1031,-40.0,120.0,33.81,6000,0
355,197,864,795,-40.0,120.0,32.65,6000,0
224,291,1008,900,-40.0,120.0,33.85,6000,0
461,592,1064,819,-40.0,120.0,33.56,6000,1
448,474,971,638,-40.0,120.0,33.56,6000,1
224,344,540,925,-40.0,120.0,33.56,6000,1
342,320,470,770,-40.0,120.0,33.56,6000,1
279,333,719,664,-40.0,120.0,31.62,6000,0
266,239,500,951,-40.0,120.0,31.4,6000,0
316,151,482,603,-40.0,120.0,29.27,6000,0
266,263,458,834,-40.0,120.0,30.68,6000,0
340,81,481,834,-40.0,120.0,30.24,6000,0
565,175,574,797,-40.0,120.0,32.2,6000,0
291,380,443,916,-40.0,120.0,31.78,6000,0
447,211,405,848,-40.0,120.0,31.15,6000,0
235,403,443,680,-40.0,120.0,30.37,6000,0
222,129,406,785,-40.0,120.0,29.21,6000,0
328,209,481,891,-40.0,120.0,30.68,6000,1
353,403,382,759,-40.0,120.0,30.68,6000,1
223,328,694,846,-40.0,120.0,30.68,6000,1
222,329,625,1095,-40.0,120.0,33.05,6000,0
135,391,526,1033,-40.0,120.0,32.06,6000,0
222,315,1032,1032,-40.0,120.0,34.76,6000,0
328,416,1176,1082,-40.0,120.0,33.09,6000,1
159,435,1021,1045,-40.0,120.0,33.09,6000,1
291,629,1008,1021,-40.0,120.0,33.09,6000,1
247,392,914,1253,-40.0,120.0,33.09,6000,1
221,629,601,1279,-40.0,120.0,35.41,6000,0
90,343,980,980,-40.0,120.0,33.68,6000,0
289,593,1086,906,-40.0,120.0,36.19,6000,0
14,619,1111,955,-40.0,120.0,35.25,6000,0
120,594,1060,880,-40.0,120.0,35.03,6000,0
276,319,929,1061,-40.0,120.0,34.69,6000,0
101,451,1084,773,-40.0,120.0,33.75,6000,0
363,276,1171,811,-40.0,120.0,34.87,6000,0
326,438,1240,1047,-40.0,120.0,37.09,6000,0
326,500,1385,903,-40.0,120.0,37.38,6000,0
420,238,1136,878,-40.0,120.0,35.17,6000,0
302,213,1111,846,-40.0,120.0,34.09,6000,0
278,212,1148,509,-40.0,120.0,32.37,6000,0
291,175,887,572,-40.0,120.0,31.22,6000,0
366,293,848,666,-40.0,120.0,32.54,6000,0
267,448,741,666,-40.0,120.0,32.27,6000,0
235,199,597,571,-40.0,120.0,35.8,6000,1
