i1,i2,i3,i4,model_input,model_max,model_power,ref_chassis_power,ref_toe
563,241,576,878,-40.0,120.0,32.96,6000,0
538,284,613,660,-40.0,120.0,32.12,6000,0
396,384,695,779,-40.0,120.0,32.95,6000,0
277,753,590,398,-40.0,120.0,31.66,6000,0
502,348,578,709,-40.0,120.0,32.33,6000,0
433,311,485,635,-40.0,120.0,30.89,6000,0
264,636,590,553,-40.0,120.0,31.83,6000,0
107,350,616,646,-40.0,120.0,34.83,6000,1
224,388,667,566,-40.0,120.0,34.83,6000,1
162,326,554,710,-40.0,120.0,34.83,6000,1
274,364,697,793,-40.0,120.0,34.83,6000,1
273,496,627,675,-40.0,120.0,32.0,6000,0
261,460,758,495,-40.0,120.0,31.39,6000,0
367,304,615,883,-40.0,120.0,32.5,6000,0
342,411,495,808,-40.0,120.0,31.91,6000,0
343,555,482,728,-40.0,120.0,32.17,6000,0
262,188,649,728,-40.0,120.0,30.73,6000,0
131,319,991,766,-40.0,120.0,34.32,6000,1
262,269,1266,884,-40.0,120.0,34.32,6000,1
161,225,1422,1071,-40.0,120.0,34.32,6000,1
249,426,1235,797,-40.0,120.0,34.32,6000,0
367,306,1210,1203,-40.0,120.0,37.25,6000,0
305,425,1422,1016,-40.0,120.0,37.66,6000,0
381,162,1067,1229,-40.0,120.0,35.96,6000,0
331,212,1066,1242,-40.0,120.0,36.02,6000,0
263,268,1110,1043,-40.0,120.0,35.17,6000,0
263,292,960,1186,-40.0,120.0,35.26,6000,0
694,185,978,1044,-40.0,120.0,36.3,6000,0
564,104,859,1100,-40.0,120.0,34.87,6000,0
502,266,871,1269,-40.0,120.0,36.33,6000,0
433,485,959,996,-40.0,120.0,33.81,6000,1
420,330,1064,1066,-40.0,120.0,33.81,6000,1
514,412,920,1049,-40.0,120.0,33.81,6000,1
263,775,689,632,-40.0,120.0,33.81,6000,1
212,251,608,870,-40.0,120.0,31.26,6000,0
486,370,514,809,-40.0,120.0,32.55,6000,0
367,139,439,667,-40.0,120.0,29.56,6000,0
285,95,500,718,-40.0,120.0,29.5,6000,0
16,294,774,813,-40.0,120.0,31.07,6000,0
222,294,775,669,-40.0,120.0,31.42,6000,0
316,200,762,813,-40.0,120.0,35.38,6000,1
354,186,712,851,-40.0,120.0,35.38,6000,1
448,342,750,527,-40.0,120.0,35.38,6000,1
80,279,906,589,-40.0,120.0,35.38,6000,1
211,291,933,458,-40.0,120.0,31.05,6000,0
286,223,621,813,-40.0,120.0,31.33,6000,0
142,223,977,771,-40.0,120.0,32.21,6000,0
79,436,934,383,-40.0,120.0,36.45,6000,1
222,236,1053,720,-40.0,120.0,36.45,6000,1
