pitch_cur,pitch_gyro,pitch_rel,pitch_rel_set
-3217,0.025,-0.214,-0.174
-3184,-0.012,-0.215,-0.174
-3185,-0.012,-0.215,-0.174
-3222,0.031,-0.214,-0.174
-3188,-0.008,-0.215,-0.174
-3187,-0.009,-0.215,-0.174
-3186,-0.01,-0.215,-0.174
-3218,0.026,-0.214,-0.174
-3185,-0.011,-0.215,-0.174
-3187,-0.008,-0.215,-0.174
-3185,-0.012,-0.215,-0.174
-3187,-0.008,-0.215,-0.174
-3184,-0.012,-0.215,-0.174
-3183,-0.013,-0.215,-0.174
-3220,0.029,-0.214,-0.174
-3189,-0.007,-0.215,-0.174
-3187,-0.009,-0.215,-0.174
-3188,-0.008,-0.215,-0.174
-3188,-0.008,-0.215,-0.174
-3191,-0.004,-0.215,-0.174
-3188,-0.008,-0.215,-0.174
-3186,-0.01,-0.215,-0.174
-3188,-0.007,-0.215,-0.174
-3187,-0.009,-0.215,-0.174
-3186,-0.01,-0.215,-0.174
-3186,-0.011,-0.215,-0.174
-3188,-0.008,-0.215,-0.174
-3183,-0.013,-0.215,-0.174
-3184,-0.013,-0.215,-0.174
-3187,-0.009,-0.215,-0.174
-3190,-0.006,-0.215,-0.174
-3189,-0.006,-0.215,-0.174
-3189,-0.006,-0.215,-0.174
-3185,-0.011,-0.215,-0.174
-3185,-0.012,-0.215,-0.174
-3183,-0.014,-0.215,-0.174
-3220,0.029,-0.214,-0.174
-3186,-0.01,-0.215,-0.174
-3189,-0.006,-0.215,-0.174
-3187,-0.009,-0.215,-0.174
-3185,-0.012,-0.215,-0.174
-3184,-0.013,-0.215,-0.174
-3187,-0.008,-0.215,-0.174
-3186,-0.01,-0.215,-0.174
-3217,0.025,-0.214,-0.174
-3218,0.025,-0.214,-0.174
-3187,-0.009,-0.215,-0.174
-3190,-0.005,-0.215,-0.174
-3186,-0.01,-0.215,-0.174
-3156,-0.045,-0.216,-0.174
-3156,-0.045,-0.216,-0.174
-3190,-0.004,-0.215,-0.174
-3183,-0.013,-0.215,-0.174
-3188,-0.008,-0.215,-0.174
-3190,-0.005,-0.215,-0.174
-3225,0.034,-0.214,-0.174
-3190,-0.005,-0.215,-0.174
-3191,-0.004,-0.215,-0.174
-3188,-0.008,-0.215,-0.174
-3189,-0.007,-0.215,-0.174
-3190,-0.005,-0.215,-0.174
-3189,-0.006,-0.215,-0.174
-3189,-0.007,-0.215,-0.174
