i1,i2,i3,i4,model_input,model_max,model_power,ref_chassis_power
-49,2348,-149,-3223,-40.0,120.0,53.83,6000
-3,2478,333,-2972,-40.0,120.0,50.56,6000
142,2602,630,-2449,-40.0,120.0,47.5,6000
-97,2544,328,-2441,-40.0,120.0,47.5,6000
-150,2646,561,-2728,-40.0,120.0,47.5,6000
-70,2815,588,-2861,-40.0,120.0,47.5,6000
-148,3035,588,-2405,-40.0,120.0,49.37,6000
-555,2762,338,-2870,-40.0,120.0,50.05,6000
-969,2599,148,-2892,-40.0,120.0,49.83,6000
-688,2586,459,-2367,-40.0,120.0,46.14,6000
-348,2605,815,-2526,-40.0,120.0,47.78,6000
-185,2748,566,-2570,-40.0,120.0,52.18,6000
-265,2364,477,-2459,-40.0,120.0,49.6,6000
-293,1953,-127,-2646,-40.0,120.0,52.59,6000
-254,2156,0,-2802,-40.0,120.0,54.51,6000
-337,2120,-102,-2471,-40.0,120.0,52.61,6000
61,2083,174,-2133,-40.0,120.0,51.24,6000
-13719,-12504,14017,12798,-40.0,120.0,0.0,6000
-2379,-3291,3707,1076,-40.0,120.0,6.65,6000
-1929,-3377,3796,291,-40.0,120.0,8.01,6000
-1697,-2827,3961,785,-40.0,120.0,8.01,6000
-1218,-2815,4444,1149,-40.0,120.0,8.01,6000
-757,-2150,3979,1264,-40.0,120.0,10.76,6000
-1271,-3350,3334,789,-40.0,120.0,10.34,6000
-1242,-2642,3332,1414,-40.0,120.0,10.73,6000
-1552,-2249,3541,1025,-40.0,120.0,11.06,6000
-1778,-2826,4628,936,-40.0,120.0,9.34,6000
-2065,-3380,3926,982,-40.0,120.0,12.2,6000
-1707,-3211,4959,1904,-40.0,120.0,17.57,6000
-3766,-5483,5668,2826,-40.0,120.0,29.63,6000
-4892,-7325,8782,3246,-40.0,120.0,57.82,6000
-6532,-8864,9530,4327,-40.0,120.0,108.68,6000
-5113,-9070,10993,3572,-40.0,120.0,116.01,6000
-4226,-8053,9394,1601,-40.0,120.0,116.01,6000
-3050,-8250,9610,869,-40.0,120.0,116.01,6000
-3014,-6472,8671,436,-34.0,120.0,143.26,5700
-3961,-4545,8967,980,-34.0,120.0,161.94,5700
-3917,-4753,8855,1172,-34.0,120.0,173.37,5700
-4405,-4128,8045,1027,-30.0,120.0,172.56,5500
