shoot_mode,trigger_cur,trigger_spd,trigger_spd_set
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,-13.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
