evt_fn1_cur,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,vt03_toe
0,0,1,0,0,0.0,2,2,139734,2794723,0,0
0,0,1,0,0,0.0,2,2,139735,2794743,0,0
0,0,1,0,0,0.0,2,2,139736,2794763,0,0
0,0,1,0,0,0.0,2,2,139737,2794783,0,0
0,0,1,0,0,0.0,2,2,139738,2794803,0,0
0,0,1,0,0,0.0,2,2,139739,2794823,0,0
0,0,1,0,0,0.0,2,2,139740,2794843,0,0
0,0,1,0,0,0.0,2,2,139741,2794863,0,0
0,0,1,0,0,0.0,2,2,139742,2794883,0,0
0,0,1,0,0,0.0,2,2,139743,2794903,0,0
0,0,1,0,0,0.0,2,2,139744,2794923,0,0
0,0,1,0,0,0.0,2,2,139745,2794943,0,0
0,0,1,0,0,0.0,2,2,139746,2794963,0,0
0,0,1,0,0,0.0,2,2,139747,2794983,0,0
0,0,1,0,0,0.0,2,2,139748,2795003,0,0
0,0,1,0,0,0.0,2,2,139749,2795023,0,0
0,0,1,0,0,0.0,2,2,139750,2795043,0,0
0,0,1,0,0,0.0,2,2,139751,2795063,0,0
0,0,1,0,0,0.0,2,2,139752,2795083,0,0
0,0,1,0,0,0.0,2,2,139753,2795103,0,0
0,0,1,0,0,0.0,2,2,139754,2795123,0,0
0,0,1,0,0,0.0,2,2,139755,2795143,0,0
0,0,1,0,0,0.0,2,2,139756,2795163,0,0
0,0,1,0,-3,0.0,2,2,139757,2795183,0,0
0,0,1,0,0,0.0,2,2,139758,2795203,0,0
0,0,1,0,0,0.0,2,2,139759,2795223,0,0
0,0,1,0,0,0.0,2,2,139760,2795243,0,0
0,0,1,0,0,0.0,2,2,139761,2795263,0,0
0,0,1,0,0,0.0,2,2,139762,2795283,0,0
0,0,1,0,0,0.0,2,2,139763,2795303,0,0
0,0,1,0,0,0.0,2,2,139764,2795323,0,0
0,0,1,0,0,0.0,2,2,139765,2795343,0,0
0,0,1,0,0,0.0,2,2,139766,2795363,0,0
0,0,1,0,0,0.0,2,2,139767,2795383,0,0
0,0,1,0,0,0.0,2,2,139768,2795403,0,0
0,0,1,0,0,0.0,2,2,139769,2795423,0,0
0,0,1,0,0,0.0,2,2,139770,2795443,0,0
0,0,1,0,-3,0.0,2,2,139771,2795463,0,0
0,0,1,0,0,0.0,2,2,139772,2795483,0,0
0,0,1,0,0,0.0,2,2,139773,2795503,0,0
0,0,1,0,0,0.0,2,2,139774,2795523,0,0
0,0,1,0,0,0.0,2,2,139775,2795543,0,0
0,0,1,0,0,0.0,2,2,139776,2795563,0,0
0,0,1,0,0,0.0,2,2,139777,2795583,0,0
0,0,1,0,0,0.0,2,2,139778,2795603,0,0
0,0,1,0,0,0.0,2,2,139779,2795623,0,0
0,0,1,0,0,0.0,2,2,139780,2795643,0,0
0,0,1,0,0,0.0,2,2,139781,2795663,0,0
0,0,1,0,0,0.0,2,2,139782,2795683,0,0
0,0,1,0,0,0.0,2,2,139783,2795703,0,0
0,0,1,0,0,0.0,2,2,139784,2795723,0,0
0,0,1,0,0,0.0,2,2,139785,2795743,0,0
0,0,1,0,0,0.0,2,2,139786,2795763,0,0
0,0,1,0,0,0.0,2,2,139787,2795783,0,0
0,0,1,0,0,0.0,2,2,139788,2795803,0,0
0,0,1,0,0,0.0,2,2,139789,2795823,0,0
0,0,1,0,0,0.0,2,2,139790,2795843,0,0
0,0,1,0,0,0.0,2,2,139791,2795863,0,0
0,0,1,0,0,0.0,2,2,139792,2795883,0,0
0,0,1,0,0,0.0,2,2,139793,2795903,0,0
0,0,1,0,0,0.0,2,2,139794,2795923,0,0
