ff_b_hat,pitch_cur,pitch_rel,pitch_rel_set,rc_ch3
7782,7771,0.189,0.189,0
7781,7773,0.189,0.189,0
7780,7773,0.189,0.189,0
7780,7776,0.189,0.189,0
7780,7779,0.189,0.189,0
7780,7782,0.189,0.189,0
7781,7785,0.189,0.189,0
7781,7788,0.189,0.189,0
7782,7791,0.189,0.189,0
7784,7841,0.188,0.189,0
7785,7798,0.189,0.189,0
7787,7849,0.188,0.189,0
7789,7807,0.189,0.189,0
7791,7812,0.189,0.189,0
7796,7858,0.188,0.189,0
7803,7862,0.188,0.189,0
7810,7870,0.188,0.189,0
7819,7922,0.187,0.189,0
7829,7933,0.187,0.189,0
7839,7951,0.187,0.189,0
7848,7931,0.188,0.189,0
7858,7952,0.188,0.189,0
7868,7973,0.188,0.189,0
7878,7990,0.188,0.189,0
7888,8007,0.188,0.189,0
7898,8023,0.188,0.189,0
7908,8039,0.188,0.189,0
7918,8056,0.188,0.189,0
7928,8071,0.188,0.189,0
7938,8087,0.188,0.189,0
7948,8103,0.188,0.189,0
7958,8119,0.188,0.189,0
7968,8135,0.188,0.189,0
7978,8151,0.188,0.189,0
7988,8168,0.188,0.189,0
7998,8183,0.188,0.189,0
8008,8156,0.189,0.189,0
8018,8220,0.188,0.189,0
8028,8195,0.189,0.189,0
8038,8211,0.189,0.189,0
8048,8225,0.189,0.189,0
8058,8282,0.188,0.189,0
8068,8249,0.189,0.189,0
8078,8262,0.189,0.189,0
8088,8276,0.189,0.189,0
8098,8289,0.189,0.189,0
8108,8301,0.189,0.189,0
8118,8314,0.189,0.189,0
8128,8326,0.189,0.189,0
8138,8338,0.189,0.189,0
8148,8351,0.189,0.189,0
8158,8363,0.189,0.189,0
8168,8375,0.189,0.189,0
8178,8387,0.189,0.189,0
8188,8400,0.189,0.189,0
8198,8412,0.189,0.189,0
8208,8424,0.189,0.189,0
8218,8437,0.189,0.189,0
8228,8449,0.189,0.189,0
8238,8461,0.189,0.189,0
8248,8474,0.189,0.189,0
8258,8487,0.189,0.189,0
8268,8499,0.189,0.189,0
8278,8510,0.189,0.189,0
8288,8523,0.189,0.189,0
8298,8537,0.189,0.189,0
8308,8549,0.189,0.189,0
8318,8562,0.189,0.189,0
8328,8572,0.189,0.189,0
8338,8585,0.189,0.189,0
8348,8551,0.19,0.189,0
8358,8564,0.19,0.189,0
8368,8622,0.189,0.189,0
8378,8587,0.19,0.189,0
8388,8601,0.19,0.189,0
8398,8657,0.189,0.189,0
8408,8624,0.19,0.189,0
8418,8634,0.19,0.189,0
8428,8644,0.19,0.189,0
8438,8653,0.19,0.189,0
8448,8662,0.19,0.189,0
8458,8671,0.19,0.189,0
8468,8679,0.19,0.189,0
8478,8688,0.19,0.189,0
8488,8696,0.19,0.189,0
8498,8705,0.19,0.189,0
8508,8714,0.19,0.189,0
8518,8722,0.19,0.189,0
8528,8731,0.19,0.189,0
8538,8739,0.19,0.189,0
8548,8748,0.19,0.189,0
8558,8758,0.19,0.189,0
8568,8766,0.19,0.189,0
8578,8729,0.19,0.189,0
8588,8785,0.19,0.189,0
8598,8791,0.19,0.189,0
8608,8802,0.19,0.189,0
8618,8811,0.19,0.189,0
8628,8773,0.19,0.189,0
8638,8831,0.19,0.189,0
8648,8792,0.19,0.189,0
8658,8802,0.19,0.189,0
8668,8852,0.19,0.189,0
8678,8813,0.19,0.189,0
8688,8858,0.19,0.189,0
8698,8824,0.19,0.189,0
8708,8797,0.191,0.189,0
8718,8806,0.191,0.189,0
8728,8810,0.191,0.189,0
8737,8811,0.191,0.189,0
8745,8811,0.191,0.189,0
8753,8809,0.191,0.189,0
8759,8808,0.191,0.189,0
8764,8804,0.191,0.189,0
8768,8800,0.191,0.189,0
8771,8794,0.191,0.189,0
8773,8787,0.191,0.189,0
8775,8780,0.191,0.189,0
8775,8771,0.191,0.189,0
8774,8761,0.191,0.189,0
8772,8751,0.191,0.189,0
8769,8739,0.191,0.189,0
8765,8726,0.191,0.189,0
8760,8712,0.191,0.189,0
8753,8698,0.191,0.189,0
8746,8682,0.191,0.189,0
8738,8665,0.191,0.189,0
8729,8647,0.191,0.189,0
8719,8628,0.191,0.189,0
8709,8609,0.191,0.189,0
8699,8591,0.191,0.189,-8
8689,8572,0.191,0.189,-13
8679,8553,0.191,0.189,-20
8669,8534,0.191,0.189,-25
8659,8515,0.191,0.189,-30
8649,8496,0.191,0.189,-42
8639,8475,0.191,0.189,-47
8629,8504,0.19,0.189,-56
8619,8439,0.191,0.189,-60
8609,8421,0.191,0.189,-65
8599,8400,0.191,0.189,-68
8589,8384,0.191,0.189,-70
8579,8413,0.19,0.189,-77
8569,8392,0.19,0.189,-82
8559,8329,0.191,0.189,-91
8549,8308,0.191,0.189,-96
8539,8290,0.191,0.189,-104
8529,8273,0.191,0.189,-109
8519,8255,0.191,0.189,-115
8509,8285,0.19,0.189,-125
8499,8221,0.191,0.189,-130
8489,8250,0.19,0.189,-137
8479,8236,0.19,0.189,-140
8469,8218,0.19,0.189,-145
8459,8202,0.19,0.189,-146
8449,8141,0.191,0.189,-146
8439,8171,0.19,0.189,-145
8429,8154,0.19,0.189,-143
8419,8139,0.19,0.189,-136
8409,8123,0.19,0.189,-131
8399,8108,0.19,0.189,-117
8389,8093,0.19,0.189,-105
8379,8078,0.19,0.189,-92
8369,8063,0.19,0.189,-64
8359,8048,0.19,0.189,-53
8349,8033,0.19,0.189,-37
8339,8018,0.19,0.189,-29
8329,8049,0.19,0.189,-12
8319,8029,0.19,0.189,-3
8309,7969,0.19,0.189,0
8299,8002,0.19,0.189,0
8289,7984,0.19,0.189,0
8279,7969,0.19,0.189,0
8269,7951,0.19,0.189,0
8259,7936,0.19,0.189,10
8249,7925,0.19,0.189,17
8239,7902,0.19,0.189,24
8229,7871,0.19,0.188,38
8219,7871,0.189,0.187,47
8209,7821,0.189,0.186,62
8199,7723,0.19,0.185,70
8189,7672,0.19,0.183,87
8179,7641,0.189,0.182,94
8169,7535,0.189,0.18,100
8159,7437,0.189,0.178,108
8149,7279,0.19,0.175,110
8139,7200,0.189,0.173,107
8129,7066,0.189,0.171,101
8119,6960,0.188,0.169,81
