pitch_cur,pitch_rel,pitch_rel_set,rc_ch3
8211,0.19,0.189,-660
8257,0.19,0.189,-660
8254,0.19,0.189,-660
8206,0.19,0.189,-660
8251,0.19,0.189,-660
8250,0.19,0.189,-660
8246,0.19,0.189,-660
8242,0.19,0.189,-660
8239,0.19,0.189,-660
8190,0.19,0.189,-660
8230,0.19,0.189,-660
8226,0.19,0.189,-660
8223,0.19,0.189,-660
8219,0.19,0.189,-660
8215,0.19,0.189,-660
8211,0.19,0.189,-660
8207,0.19,0.189,-660
8203,0.19,0.189,-660
8200,0.19,0.189,-660
8196,0.19,0.189,-660
8193,0.19,0.189,-660
8189,0.19,0.189,-660
