bullet_cnt,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
0,0.0,2,0,-3835,-3835,0.0
