ff_b_hat,pitch_cur,pitch_rel,pitch_rel_set,rc_ch3
-145,-201,0.001,0.001,0
-151,-207,0.001,0.001,0
-157,-213,0.001,0.001,0
-162,-219,0.001,0.001,0
-168,-224,0.001,0.001,0
-174,-230,0.001,0.001,0
-179,-236,0.001,0.001,0
-185,-242,0.001,0.001,0
-191,-248,0.001,0.001,0
-197,-254,0.001,0.001,0
-203,-260,0.001,0.001,0
-208,-266,0.001,0.001,0
-214,-272,0.001,0.001,0
-220,-278,0.001,0.001,0
-226,-284,0.001,0.001,0
-232,-290,0.001,0.001,0
-237,-297,0.001,0.001,0
-243,-302,0.001,0.001,0
-249,-308,0.001,0.001,0
-255,-314,0.001,0.001,0
-261,-321,0.001,0.001,0
-266,-328,0.001,0.001,0
-273,-332,0.001,0.001,0
-278,-338,0.001,0.001,0
-284,-345,0.001,0.001,0
-289,-351,0.001,0.001,0
-295,-311,0.0,0.001,0
-300,-362,0.001,0.001,0
-305,-320,0.0,0.001,0
-310,-325,0.0,0.001,0
-313,-332,0.0,0.001,0
-317,-334,0.0,0.001,0
-321,-337,0.0,0.001,0
-324,-385,0.001,0.001,0
-327,-387,0.001,0.001,0
-330,-388,0.001,0.001,0
-332,-344,0.0,0.001,0
-334,-343,0.0,0.001,0
-336,-342,0.0,0.001,0
-339,-340,0.0,0.001,0
-340,-340,0.0,0.001,0
-342,-339,0.0,0.001,0
-342,-339,0.0,0.001,0
-343,-337,0.0,0.001,0
-344,-335,0.0,0.001,0
-343,-334,0.0,0.001,0
-343,-330,0.0,0.001,0
-342,-374,0.001,0.001,0
-342,-324,0.0,0.001,0
-341,-320,0.0,0.001,0
-339,-316,0.0,0.001,0
-337,-312,0.0,0.001,0
-336,-352,0.001,0.001,0
-333,-301,0.0,0.001,0
-331,-343,0.001,0.001,0
-328,-290,0.0,0.001,0
-326,-283,0.0,0.001,0
-323,-323,0.001,0.001,0
-320,-320,0.001,0.001,0
-317,-266,0.0,0.001,0
-312,-263,0.0,0.001,0
-308,-303,0.001,0.001,0
-304,-295,0.001,0.001,0
-300,-289,0.001,0.001,0
-296,-280,0.001,0.001,0
-291,-229,0.0,0.001,0
-287,-268,0.001,0.001,0
-282,-213,0.0,0.001,0
-277,-253,0.001,0.001,0
-272,-200,0.0,0.001,0
-267,-239,0.001,0.001,0
-263,-231,0.001,0.001,0
-257,-227,0.001,0.001,0
-251,-220,0.001,0.001,0
