i1,i2,i3,i4,model_input,model_max,model_power,ref_chassis_power,ref_toe
698,169,273,815,-40.0,120.0,31.58,6000,0
691,157,313,787,-40.0,120.0,31.54,6000,0
478,253,290,522,-40.0,120.0,29.35,6000,0
458,98,361,483,-40.0,120.0,28.58,6000,0
438,414,308,647,-40.0,120.0,30.72,6000,1
822,-54,-19,576,-40.0,120.0,30.72,6000,1
1722,-335,-635,1355,-40.0,120.0,30.72,6000,1
3027,-1170,-2018,2427,-40.0,120.0,45.97,6000,0
4034,-2692,-2704,4163,-40.0,120.0,68.49,6000,0
3682,-3322,-3209,5892,-40.0,120.0,86.16,6000,0
2930,-3855,-2849,6818,-40.0,120.0,98.27,6000,1
2004,-3363,-2556,8334,-40.0,120.0,98.27,6000,1
1568,-4508,-916,6611,-40.0,120.0,98.27,6000,1
-252,-5258,692,6901,-40.0,120.0,119.06,6000,0
194,-5845,2081,5562,-40.0,120.0,134.34,6000,0
747,-6102,3840,4180,-40.0,120.0,146.17,6000,0
84,-7444,6272,2315,-40.0,120.0,129.92,6000,0
-6614,-5775,7620,1611,-40.0,120.0,149.3,6000,0
-2511,-4612,7851,402,-40.0,120.0,115.48,6000,0
-2999,-2855,7742,608,-40.0,120.0,126.02,6000,0
-4741,-1150,6973,538,-40.0,120.0,125.19,6000,0
-4509,-395,6541,1032,-40.0,120.0,173.33,6000,0
-4643,-797,6649,89,-40.0,120.0,193.31,6000,0
-5936,1200,9305,339,-40.0,120.0,221.71,6000,1
-5290,1474,6239,-144,-40.0,120.0,221.71,6000,1
-4871,1704,5959,-234,-40.0,120.0,221.71,6000,1
-4130,1914,4706,-16000,-32.0,120.0,124.79,5600,0
-2223,1674,4056,328,-32.0,120.0,102.12,5600,0
-734,1457,3413,-19,-32.0,120.0,82.8,5600,0
822,1425,1952,487,-32.0,120.0,60.57,5600,0
1286,1239,131,-100,-36.0,120.0,36.04,5800,0
2280,1645,-1266,-215,-36.0,120.0,32.21,5800,0
2964,1874,-2007,-910,-36.0,120.0,40.93,5800,0
3334,2827,-2422,-2038,-40.0,120.0,62.68,6000,0
3490,3500,-2449,-3322,-40.0,120.0,86.08,6000,0
3457,4155,-2137,-4594,-40.0,120.0,110.85,6000,0
2404,4350,-1390,-5185,-40.0,120.0,140.29,6000,0
3254,3577,-1967,-4582,-40.0,120.0,138.9,6000,0
3183,2415,-1552,-1944,-40.0,120.0,94.87,6000,0
3095,1348,-1742,-1229,-40.0,120.0,90.93,6000,1
3239,257,-1567,297,-40.0,120.0,90.93,6000,1
1843,-1508,-543,1967,-40.0,120.0,90.93,6000,1
197,-2321,1163,3455,-40.0,120.0,21.58,6000,0
-9710,-5918,12648,6943,-40.0,120.0,79.54,6000,0
-2160,-3825,7968,987,-40.0,120.0,48.18,6000,0
-2011,-2698,8345,490,-40.0,120.0,46.67,6000,0
-2752,-1083,9163,508,-40.0,120.0,48.86,6000,0
-2996,33,7954,527,-40.0,120.0,51.65,6000,0
-3430,1688,5152,233,-40.0,120.0,49.47,6000,0
-3173,3199,4628,-931,-40.0,120.0,47.48,6000,0
-3252,3825,3873,-661,-40.0,120.0,48.44,6000,0
-3698,3951,4330,-282,-40.0,120.0,52.78,6000,0
-3599,4611,3899,-610,-40.0,120.0,51.91,6000,0
-2608,4489,2927,-878,-40.0,120.0,45.72,6000,0
-1863,4022,1725,-1530,-40.0,120.0,38.06,6000,0
