i1,i2,i3,i4,model_input,model_max,model_power,ref_chassis_power,ref_toe
-1490,-2618,2466,2773,-40.0,120.0,58.58,6000,0
-1167,-2223,2237,2703,-40.0,120.0,63.39,6000,0
-1613,-736,3310,1471,-40.0,120.0,51.85,6000,0
-1770,447,2951,38,-40.0,120.0,47.96,6000,1
514,9696,442,-6831,-40.0,120.0,47.96,6000,1
1988,5150,-568,-3437,-40.0,120.0,47.96,6000,1
3523,4262,-880,-2863,-40.0,120.0,48.08,6000,0
4182,3024,-1407,-3462,-40.0,120.0,45.54,6000,0
5600,3638,-1585,-4658,-40.0,120.0,53.52,6000,0
6133,2654,-1826,-3489,-40.0,120.0,47.69,6000,1
6158,2774,-2194,-3035,-40.0,120.0,47.69,6000,1
6213,1821,-2376,-2325,-40.0,120.0,47.69,6000,1
5665,2025,-2354,-1600,-40.0,120.0,47.69,6000,1
6248,1385,-2589,-861,-40.0,120.0,46.42,6000,0
4546,826,-2815,-402,-40.0,120.0,40.05,6000,0
3660,494,-2273,406,-40.0,120.0,39.02,6000,0
3308,440,-1972,802,-40.0,120.0,39.25,6000,0
2761,134,-1536,929,-40.0,120.0,35.75,6000,0
2138,257,-868,1226,-40.0,120.0,35.37,6000,0
1778,117,-537,1261,-40.0,120.0,37.59,6000,1
1052,-60,115,1090,-40.0,120.0,37.59,6000,1
721,-450,258,1074,-40.0,120.0,37.59,6000,1
519,-397,329,845,-40.0,120.0,37.59,6000,1
271,-99,764,627,-40.0,120.0,29.23,6000,0
416,5,559,582,-40.0,120.0,29.35,6000,0
330,93,852,534,-40.0,120.0,30.58,6000,0
369,456,847,454,-40.0,120.0,32.32,6000,0
333,346,530,417,-40.0,120.0,29.72,6000,0
375,491,522,362,-40.0,120.0,30.4,6000,0
312,602,749,578,-40.0,120.0,32.98,6000,0
-33,463,1262,421,-40.0,120.0,32.4,6000,0
-885,226,2026,706,-40.0,120.0,33.01,6000,0
-1536,185,2751,745,-40.0,120.0,40.07,6000,1
-2389,542,4047,818,-40.0,120.0,40.07,6000,1
-2967,717,5007,161,-40.0,120.0,40.07,6000,1
-3050,1748,4818,-209,-40.0,120.0,40.07,6000,1
-3204,2456,4920,-779,-40.0,120.0,67.34,6000,0
-3180,3564,5341,-1581,-40.0,120.0,79.53,6000,0
