pitch_cur,pitch_rel,pitch_rel_set,rc_ch3
12484,0.022,0.189,-660
12486,0.022,0.189,-660
12488,0.022,0.189,-660
12445,0.023,0.189,-660
12490,0.022,0.189,-660
12492,0.022,0.189,-660
12496,0.022,0.189,-660
12500,0.022,0.189,-660
12457,0.023,0.189,-660
12502,0.022,0.189,-660
12505,0.022,0.189,-660
12504,0.022,0.189,-660
12508,0.022,0.189,-660
12512,0.022,0.189,-660
12513,0.022,0.189,-660
12518,0.022,0.189,-660
12518,0.022,0.189,-660
12474,0.023,0.189,-660
12521,0.022,0.189,-660
12527,0.022,0.189,-660
12528,0.022,0.189,-660
12526,0.022,0.189,-660
12526,0.022,0.189,-660
12529,0.022,0.189,-660
12533,0.022,0.189,-660
12536,0.022,0.189,-660
12538,0.022,0.189,-660
12540,0.022,0.189,-660
12542,0.022,0.189,-660
12546,0.022,0.189,-660
12546,0.022,0.189,-660
12546,0.022,0.189,-660
12549,0.022,0.189,-660
12554,0.022,0.189,-660
12555,0.022,0.189,-660
12557,0.022,0.189,-660
12513,0.023,0.189,-660
12561,0.022,0.189,-660
12559,0.022,0.189,-660
12520,0.023,0.189,-660
12567,0.022,0.189,-660
12567,0.022,0.189,-660
12574,0.022,0.189,-660
12572,0.022,0.189,-660
12576,0.022,0.189,-660
12578,0.022,0.189,-660
12534,0.023,0.189,-660
12579,0.022,0.189,-660
12583,0.022,0.189,-660
12540,0.023,0.189,-660
12539,0.023,0.189,-660
12586,0.022,0.189,-660
12594,0.022,0.189,-660
12593,0.022,0.189,-660
12595,0.022,0.189,-660
12597,0.022,0.189,-660
12556,0.023,0.189,-660
12559,0.023,0.189,-660
12609,0.022,0.189,-660
12562,0.023,0.189,-660
12611,0.022,0.189,-660
12611,0.022,0.189,-660
12612,0.022,0.189,-660
12618,0.022,0.189,-660
12619,0.022,0.189,-660
12625,0.022,0.189,-660
12625,0.022,0.189,-660
12582,0.023,0.189,-660
12627,0.022,0.189,-660
12627,0.022,0.189,-660
12630,0.022,0.189,-660
12637,0.022,0.189,-660
12592,0.023,0.189,-660
12641,0.022,0.189,-660
12646,0.022,0.189,-660
12647,0.022,0.189,-660
12649,0.022,0.189,-660
12601,0.023,0.189,-660
12650,0.022,0.189,-660
12606,0.023,0.189,-660
12613,0.023,0.189,-660
12612,0.023,0.189,-660
12660,0.022,0.189,-660
12661,0.022,0.189,-660
12617,0.023,0.189,-660
12666,0.022,0.189,-660
12668,0.022,0.189,-660
12626,0.023,0.189,-660
12670,0.022,0.189,-660
12630,0.023,0.189,-660
12677,0.022,0.189,-660
12677,0.022,0.189,-660
12679,0.022,0.189,-660
12635,0.023,0.189,-660
12684,0.022,0.189,-660
12686,0.022,0.189,-660
12642,0.023,0.189,-660
12693,0.022,0.189,-660
12652,0.023,0.189,-660
12655,0.023,0.189,-660
12657,0.023,0.189,-660
12656,0.023,0.189,-660
12705,0.022,0.189,-660
12660,0.023,0.189,-660
12663,0.023,0.189,-660
12711,0.022,0.189,-660
12670,0.023,0.189,-660
12668,0.023,0.189,-660
12716,0.022,0.189,-660
12718,0.022,0.189,-660
12678,0.023,0.189,-660
12678,0.023,0.189,-660
12677,0.023,0.189,-660
12679,0.023,0.189,-660
12679,0.023,0.189,-660
12686,0.023,0.189,-660
12735,0.022,0.189,-660
12692,0.023,0.189,-660
12736,0.022,0.189,-660
12692,0.023,0.189,-660
12742,0.022,0.189,-660
12698,0.023,0.189,-660
12700,0.023,0.189,-660
12705,0.023,0.189,-660
12747,0.022,0.189,-660
12709,0.023,0.189,-660
12709,0.023,0.189,-660
12714,0.023,0.189,-660
12710,0.023,0.189,-660
12714,0.023,0.189,-660
12718,0.023,0.189,-660
12718,0.023,0.189,-660
12720,0.023,0.189,-660
12722,0.023,0.189,-660
12723,0.023,0.189,-660
12774,0.022,0.189,-660
12728,0.023,0.189,-660
12773,0.022,0.189,-660
12730,0.023,0.189,-660
12733,0.023,0.189,-660
12736,0.023,0.189,-660
12739,0.023,0.189,-660
12739,0.023,0.189,-660
12744,0.023,0.189,-660
12748,0.023,0.189,-660
12750,0.023,0.189,-660
12751,0.023,0.189,-660
12753,0.023,0.189,-660
12751,0.023,0.189,-660
12757,0.023,0.189,-660
12755,0.023,0.189,-660
12759,0.023,0.189,-660
12763,0.023,0.189,-660
12814,0.022,0.189,-660
12771,0.023,0.189,-660
12771,0.023,0.189,-660
12814,0.022,0.189,-660
12820,0.022,0.189,-660
12822,0.022,0.189,-660
12822,0.022,0.189,-660
12780,0.023,0.189,-660
12783,0.023,0.189,-660
12785,0.023,0.189,-660
12788,0.023,0.189,-660
12790,0.023,0.189,-660
12838,0.022,0.189,-660
12794,0.023,0.189,-660
12796,0.023,0.189,-660
12798,0.023,0.189,-660
12802,0.023,0.189,-660
12847,0.022,0.189,-660
12802,0.023,0.189,-660
12850,0.022,0.189,-660
12805,0.023,0.189,-660
12810,0.023,0.189,-660
12812,0.023,0.189,-660
12815,0.023,0.189,-660
12819,0.023,0.189,-660
12821,0.023,0.189,-660
12818,0.023,0.189,-660
12824,0.023,0.189,-660
12825,0.023,0.189,-660
12828,0.023,0.189,-660
12875,0.022,0.189,-660
12828,0.023,0.189,-660
12830,0.023,0.189,-660
12835,0.023,0.189,-660
12837,0.023,0.189,-660
12840,0.023,0.189,-660
12841,0.023,0.189,-660
12844,0.023,0.189,-660
12845,0.023,0.189,-660
12848,0.023,0.189,-660
12848,0.023,0.189,-660
12851,0.023,0.189,-660
12852,0.023,0.189,-660
12856,0.023,0.189,-660
12904,0.022,0.189,-660
12860,0.023,0.189,-660
12862,0.023,0.189,-660
12908,0.022,0.189,-660
12864,0.023,0.189,-660
12867,0.023,0.189,-660
12871,0.023,0.189,-660
12871,0.023,0.189,-660
12875,0.023,0.189,-660
12877,0.023,0.189,-660
12878,0.023,0.189,-660
12881,0.023,0.189,-660
12883,0.023,0.189,-660
12884,0.023,0.189,-660
12886,0.023,0.189,-660
12889,0.023,0.189,-660
12889,0.023,0.189,-660
12891,0.023,0.189,-660
12894,0.023,0.189,-660
12894,0.023,0.189,-660
12898,0.023,0.189,-660
12901,0.023,0.189,-660
12902,0.023,0.189,-660
12905,0.023,0.189,-660
12905,0.023,0.189,-660
12908,0.023,0.189,-660
12910,0.023,0.189,-660
12913,0.023,0.189,-660
12961,0.022,0.189,-660
12962,0.022,0.189,-660
12918,0.023,0.189,-660
12920,0.023,0.189,-660
12921,0.023,0.189,-660
12925,0.023,0.189,-660
12927,0.023,0.189,-660
12930,0.023,0.189,-660
12932,0.023,0.189,-660
12933,0.023,0.189,-660
12935,0.023,0.189,-660
12938,0.023,0.189,-660
12939,0.023,0.189,-660
12940,0.023,0.189,-660
12941,0.023,0.189,-660
12945,0.023,0.189,-660
12947,0.023,0.189,-660
12950,0.023,0.189,-660
12952,0.023,0.189,-660
12954,0.023,0.189,-660
12954,0.023,0.189,-660
12957,0.023,0.189,-660
12959,0.023,0.189,-660
