fric1_rpm,fric2_rpm,shoot_mode,trigger_cur
4863,-4880,2,1115
4888,-4901,2,1179
4892,-4853,2,1129
4840,-4889,2,1146
4903,-4878,2,1216
4917,-4883,2,1311
4871,-4908,2,1260
4871,-4841,2,1305
4905,-4878,2,1206
4840,-4868,2,1231
4905,-4878,2,1368
4869,-4897,2,1322
4873,-4857,2,1300
4921,-4887,2,1233
4854,-4887,2,1285
4886,-4916,2,1259
4877,-4847,2,1322
4894,-4906,2,1402
4873,-4872,2,1276
4907,-4880,2,1418
4844,-4912,2,1339
4871,-4847,2,1282
4884,-4887,2,1271
4865,-4891,2,1269
4917,-4874,2,1264
4873,-4872,2,1271
4869,-4922,2,1367
4907,-4849,2,1261
4840,-4899,2,1300
4900,-4912,2,1266
4884,-4853,2,1228
4884,-4916,2,1455
4869,-4878,2,1286
4900,-4887,2,1101
4861,-4922,2,1188
4898,-4834,2,1222
4892,-4904,2,1212
4873,-4895,2,1224
4907,-4876,2,1195
4846,-4883,2,1193
4871,-4910,2,1187
4884,-4847,2,1157
4865,-4893,2,1272
4865,-4906,2,1173
4888,-4855,2,1052
4875,-4920,2,1168
4873,-4872,2,1155
4903,-4897,2,1148
4875,-4912,2,1144
4879,-4845,2,1096
4888,-4908,2,1180
4867,-4895,2,1077
4905,-4889,2,1168
4867,-4864,2,1126
4890,-4883,2,1079
4894,-4843,2,1145
4900,-4891,2,979
4859,-4901,2,908
4888,-4862,2,916
4882,-4906,2,930
4859,-4860,2,1062
4913,-4883,2,1148
4865,-4893,2,1172
4888,-4843,2,1170
4879,-4912,2,1234
4873,-4883,2,1277
4903,-4893,2,1264
4875,-4847,2,1304
4877,-4876,2,1338
4869,-4853,2,1292
4911,-4887,2,1270
4859,-4899,2,1221
4905,-4851,2,1380
4867,-4883,2,1299
4850,-4857,2,1315
4900,-4872,2,1380
4861,-4887,2,1375
4886,-4908,2,1341
4884,-4857,2,1306
4861,-4880,2,1337
4911,-4899,2,1397
4865,-4855,2,1498
4884,-4889,2,1292
4890,-4876,2,1217
4890,-4883,2,1266
4840,-4906,2,1326
4903,-4839,2,1267
4856,-4876,2,1256
4873,-4866,2,1298
4909,-4876,2,1253
4859,-4893,2,1318
4905,-4857,2,1271
4865,-4868,2,1240
4850,-4885,2,1471
4898,-4918,2,1280
4859,-4845,2,1143
4850,-4906,2,1297
4886,-4874,2,1318
4877,-4880,2,1257
4859,-4914,2,1328
4928,-4847,2,1302
4865,-4887,2,1236
4886,-4895,2,1279
4892,-4870,2,1219
4840,-4870,2,1267
4898,-4916,2,1227
4859,-4860,2,1165
4869,-4897,2,1185
4869,-4916,2,1177
4905,-4851,2,1167
4844,-4914,2,1207
4900,-4883,2,1154
4867,-4889,2,1209
4871,-4922,2,1145
4921,-4837,2,1118
4854,-4904,2,1145
4879,-4901,2,1151
4879,-4904,2,1138
4854,-4870,2,1039
4926,-4906,2,915
4865,-4851,2,900
4882,-4887,2,912
4869,-4901,2,1034
4890,-4847,2,1088
4861,-4918,2,1154
4911,-4883,2,1207
4877,-4893,2,1137
4869,-4910,2,1212
4909,-4845,2,1357
4836,-4849,2,1441
4888,-4891,2,1346
4871,-4897,2,1376
4869,-4857,2,1387
4923,-4880,2,1221
4861,-4847,2,1305
4867,-4885,2,1397
4884,-4895,2,1387
4898,-4851,2,1302
4873,-4901,2,1374
4898,-4872,2,1420
4859,-4887,2,1303
4865,-4862,2,1366
4896,-4893,2,1382
4863,-4870,2,1341
4905,-4885,2,1527
4886,-4901,2,1288
4869,-4841,2,1234
4867,-4874,2,1361
4896,-4857,2,1291
4875,-4880,2,1206
4865,-4897,2,1339
4903,-4853,2,1236
4867,-4885,2,1208
4896,-4874,2,1195
4873,-4912,2,1221
4877,-4851,2,1272
4905,-4906,2,1221
4875,-4870,2,1138
4892,-4880,2,1097
4875,-4914,2,1255
4896,-4845,2,1137
4854,-4887,2,1206
4907,-4893,2,1178
4865,-4870,2,1168
4854,-4906,2,1167
4896,-4853,2,1137
4859,-4853,5,8097
4890,-4901,5,1102
4882,-4916,5,380
4861,-4851,5,1424
4911,-4914,5,1557
4865,-4883,5,1117
4865,-4885,5,963
4888,-4924,5,1209
4886,-4837,5,1398
4838,-4901,5,1420
4903,-4901,5,1319
4854,-4870,5,1392
4873,-4916,5,1395
4905,-4906,5,1387
4859,-4851,5,1333
4905,-4889,5,1305
4867,-4901,5,1284
4848,-4845,5,1298
4900,-4918,5,1257
4917,-4885,5,1272
4850,-4893,5,1261
4888,-4908,5,1208
4873,-4843,5,1166
4859,-4897,5,1183
4930,-4904,5,1142
4865,-4866,5,1194
4884,-4855,5,1088
4892,-4883,5,982
4838,-4849,5,1236
4898,-4880,5,1341
4856,-4891,5,1326
4873,-4853,5,1320
4867,-4899,5,1395
4903,-4876,5,1432
4842,-4870,5,1344
4905,-4885,5,1403
4869,-4841,5,1313
4875,-4893,5,1264
4921,-4904,5,1249
4852,-4866,5,1224
4884,-4904,5,1281
4882,-4876,5,1270
4856,-4868,5,1239
4926,-4872,5,1138
4869,-4893,5,1142
4848,-4860,5,1114
4871,-4883,5,1138
4888,-4889,5,1025
4863,-4845,5,1020
4913,-4874,5,1206
4875,-4853,5,1302
4869,-4887,5,1212
4905,-4899,5,1209
4838,-4918,5,1236
4896,-4885,5,1237
4869,-4885,5,1356
4869,-4901,5,1334
4921,-4857,5,1322
4903,-4906,5,1221
4865,-4862,5,1217
4890,-4883,5,1191
4898,-4908,5,1195
4873,-4847,5,1207
4900,-4887,5,1083
4854,-4883,5,1128
4867,-4878,5,1109
4894,-4908,5,1154
4863,-4843,5,1134
4911,-4847,5,954
4879,-4899,5,1108
4869,-4910,5,1275
4871,-4857,5,1226
4903,-4916,5,1172
4877,-4876,5,1259
4873,-4887,5,1264
4894,-4922,5,1231
4865,-4837,5,1340
4903,-4904,5,1240
4867,-4893,5,1240
4884,-4874,5,1263
4898,-4878,5,1153
4873,-4906,5,1232
4896,-4847,5,1215
