bullet_cnt,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set
26,30.383,2,0,-545599,-545599
26,30.143,2,0,-545599,-545599
26,29.903,2,0,-545599,-545599
26,29.663,2,0,-545599,-545599
26,29.423,2,0,-545599,-545599
26,29.183,2,0,-545599,-545599
26,28.943,2,0,-545599,-545599
26,28.703,2,0,-545599,-545599
26,28.463,2,0,-545599,-545599
26,28.223,2,0,-545599,-545599
26,27.983,2,0,-545599,-545599
26,27.743,2,0,-545599,-545599
26,27.503,2,0,-545599,-545599
26,27.263,2,0,-545599,-545599
26,27.023,2,0,-545599,-545599
26,26.783,2,0,-545599,-545599
26,26.543,2,0,-545599,-545599
26,26.303,2,0,-545599,-545599
26,26.063,2,0,-545599,-545599
26,25.823,2,0,-545599,-545599
26,25.583,2,0,-545599,-545599
26,25.343,2,0,-545599,-545599
26,25.103,2,0,-545599,-545599
26,24.864,2,0,-545599,-545599
26,24.624,2,0,-545599,-545599
26,24.384,2,0,-545599,-545599
26,24.144,2,0,-545599,-545599
26,23.904,2,0,-545599,-545599
26,23.664,2,0,-545599,-545599
26,23.424,2,0,-545599,-545599
26,23.184,2,0,-545599,-545599
26,22.944,2,0,-545599,-545599
26,22.704,2,0,-545599,-545599
26,22.464,2,0,-545599,-545599
26,22.224,2,0,-545599,-545599
26,21.984,2,0,-545599,-545599
26,21.744,2,0,-545599,-545599
26,21.504,2,0,-545599,-545599
26,21.264,2,0,-545599,-545599
26,21.024,2,0,-545599,-545599
26,20.784,2,0,-545599,-545599
26,20.544,2,0,-545599,-545599
26,20.304,2,0,-545599,-545599
26,20.064,2,0,-545599,-545599
26,19.824,2,0,-545599,-545599
26,19.584,2,0,-545599,-545599
26,19.344,2,0,-545599,-545599
26,19.104,2,0,-545599,-545599
26,18.864,2,0,-545599,-545599
26,18.624,2,0,-545599,-545599
26,18.384,2,0,-545599,-545599
26,18.144,2,0,-545599,-545599
26,17.904,2,0,-545599,-545599
26,17.664,2,0,-545599,-545599
26,17.424,2,0,-545599,-545599
26,17.184,2,0,-545599,-545599
26,16.944,2,0,-545599,-545599
26,16.704,2,0,-545599,-545599
26,16.464,2,0,-545599,-545599
26,16.224,2,0,-545599,-545599
26,15.984,2,0,-545599,-545599
26,15.744,2,0,-545599,-545599
26,15.504,2,0,-545599,-545599
26,15.264,2,0,-545599,-545599
26,15.024,2,0,-545599,-545599
26,14.784,2,0,-545599,-545599
26,14.544,2,0,-545599,-545599
27,24.304,6,4995,-545542,-545542
27,24.064,2,0,-544830,-544830
27,23.824,2,0,-545453,-545453
27,23.584,2,0,-545507,-545507
27,23.344,2,0,-545507,-545507
27,23.104,2,0,-545507,-545507
27,22.864,2,0,-545507,-545507
27,22.624,2,0,-545507,-545507
27,22.384,2,0,-545512,-545512
27,22.144,2,0,-545517,-545517
27,21.904,2,0,-545525,-545525
27,21.664,2,0,-545583,-545583
27,21.424,2,0,-545597,-545597
27,21.184,2,0,-545597,-545597
27,20.944,2,0,-545597,-545597
27,20.704,2,0,-545597,-545597
27,20.464,2,0,-545597,-545597
27,20.224,2,0,-545597,-545597
27,19.984,2,0,-545597,-545597
27,19.744,2,0,-545597,-545597
27,19.504,2,0,-545597,-545597
27,19.265,2,0,-545597,-545597
27,19.025,2,0,-545597,-545597
27,18.785,2,0,-545597,-545597
27,18.545,2,0,-545597,-545597
27,18.305,2,0,-545597,-545597
27,18.065,2,0,-545597,-545597
27,17.825,2,0,-545597,-545597
27,17.585,2,0,-545597,-545597
27,17.345,2,0,-545597,-545597
27,17.105,2,0,-545597,-545597
27,16.865,2,0,-545597,-545597
27,16.625,2,0,-545597,-545597
27,16.385,2,0,-545597,-545597
27,16.145,2,0,-545597,-545597
27,15.905,2,0,-545597,-545597
27,15.665,2,0,-545597,-545597
27,15.425,2,0,-545597,-545597
27,15.185,2,0,-545597,-545597
27,14.945,2,0,-545597,-545597
27,14.705,2,0,-545597,-545597
27,14.465,2,0,-545597,-545597
27,14.225,2,0,-545597,-545597
27,13.985,2,0,-545597,-545597
27,13.745,2,0,-545597,-545597
27,13.505,2,0,-545597,-545597
27,13.265,2,0,-545597,-545597
27,13.025,2,0,-545597,-545597
27,12.785,2,0,-545597,-545597
27,12.545,2,0,-545597,-545597
27,12.305,2,0,-545597,-545597
27,12.065,2,0,-545597,-545597
27,11.825,2,0,-545597,-545597
27,11.585,2,0,-545597,-545597
27,11.345,2,0,-545597,-545597
27,11.105,2,0,-545597,-545597
27,10.865,2,0,-545597,-545597
27,10.625,2,0,-545597,-545597
27,10.385,2,0,-545597,-545597
27,10.145,2,0,-545597,-545597
27,9.905,2,0,-545597,-545597
27,9.665,2,0,-545597,-545597
27,9.425,2,0,-545597,-545597
27,9.185,2,0,-545597,-545597
27,8.945,2,0,-545597,-545597
27,8.705,2,0,-545597,-545597
27,8.465,2,0,-545597,-545597
27,8.225,2,0,-545597,-545597
27,7.985,2,0,-545597,-545597
27,7.745,2,0,-545597,-545597
27,7.505,2,0,-545597,-545597
27,7.265,2,0,-545597,-545597
27,7.025,2,0,-545597,-545597
27,6.785,2,0,-545597,-545597
27,6.545,2,0,-545597,-545597
27,6.305,2,0,-545597,-545597
27,6.065,2,0,-545597,-545597
27,5.825,2,0,-545597,-545597
27,5.585,2,0,-545597,-545597
27,5.345,2,0,-545597,-545597
27,5.105,2,0,-545597,-545597
27,4.865,2,0,-545597,-545597
27,4.625,2,0,-545597,-545597
27,4.385,2,0,-545597,-545597
27,4.145,2,0,-545597,-545597
27,3.905,2,0,-545597,-545597
27,3.665,2,0,-545597,-545597
27,3.425,2,0,-545597,-545597
27,3.185,2,0,-545597,-545597
27,2.945,2,0,-545597,-545597
27,2.705,2,0,-545597,-545597
27,2.465,2,0,-545597,-545597
27,2.225,2,0,-545597,-545597
27,1.985,2,0,-545597,-545597
27,1.745,2,0,-545597,-545597
27,1.505,2,0,-545597,-545597
27,1.265,2,0,-545597,-545597
27,1.025,2,0,-545597,-545597
27,0.785,2,0,-545597,-545597
27,0.545,2,0,-545597,-545597
27,0.305,2,0,-545597,-545597
27,0.065,2,0,-545597,-545597
27,0.0,2,0,-545597,-545597
27,0.0,2,0,-545597,-545597
27,0.0,6,5000,-545597,-545597
27,0.0,2,0,-544715,-544715
27,0.0,2,0,-545413,-545413
27,0.0,2,0,-545503,-545503
27,0.0,2,0,-545502,-545502
27,0.0,2,0,-545502,-545502
27,0.0,2,0,-545502,-545502
27,0.0,2,0,-545502,-545502
27,0.0,2,0,-545508,-545508
27,0.0,2,0,-545508,-545508
27,0.0,2,0,-545514,-545514
27,0.0,2,0,-545523,-545523
27,0.0,2,0,-545583,-545583
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
27,0.0,2,0,-545598,-545598
