event_bits,key_v
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,32768
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,0
1048832,32768
1048832,32768
1048832,32768
