evt_cmd_reverse_trigger,key_v,shoot_mode,trigger_cur,trigger_spd
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
