evt_cmd_reverse_trigger,key_v,shoot_mode,trigger_cur,trigger_spd
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,1024,2,-3321,0.0
0,1024,2,-4101,0.0
0,1024,2,-4881,0.0
0,1024,2,-5661,0.0
0,1024,2,-6441,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
0,0,2,-4407,0.0
