bullet_cnt,fric1_rpm,fric2_rpm,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
99,4869,-4885,4.855,2,0,3494995,3494995,0.0
99,4930,-4872,4.615,2,0,3494995,3494995,0.0
99,4867,-4887,4.375,2,0,3494995,3494995,0.0
99,4900,-4845,4.135,4,10000,3495009,3531859,0.001
99,4875,-4901,3.895,4,10000,3501960,3531859,7.992
99,4867,-4904,3.655,4,10000,3519487,3531859,18.895
100,4882,-4878,13.415,6,-10000,3544041,3531859,27.268
100,4775,-4730,13.175,6,-10000,3561657,3531859,18.077
100,4854,-4849,12.935,6,-10000,3563725,3531859,1.163
100,4875,-4912,12.695,6,-10000,3551799,3531859,-12.966
100,4856,-4889,12.455,6,10000,3529097,3531859,-24.661
100,4917,-4847,12.215,6,10000,3506484,3531859,-23.776
100,4867,-4918,11.975,6,10000,3500023,3531859,-5.826
100,4892,-4889,11.735,2,0,3503942,3503942,4.955
100,4882,-4895,11.495,2,0,3506052,3506052,2.144
100,4884,-4912,11.255,2,0,3506173,3506173,-0.01
100,4907,-4847,11.015,2,0,3506122,3506122,-0.058
100,4882,-4901,10.775,2,0,3506119,3506119,-0.003
100,4896,-4904,10.535,2,0,3506115,3506115,-0.004
100,4873,-4876,10.295,2,0,3506109,3506109,-0.009
100,4871,-4920,10.055,2,0,3506089,3506089,-0.026
100,4865,-4853,9.815,2,0,3506029,3506029,-0.077
100,4915,-4901,9.575,2,0,3506026,3506026,-0.004
100,4873,-4910,9.335,2,0,3506023,3506023,-0.003
100,4888,-4862,9.095,2,0,3506018,3506018,-0.006
100,4882,-4918,8.855,2,0,3505999,3505999,-0.026
100,4882,-4874,8.615,2,0,3505928,3505928,-0.09
100,4907,-4860,8.375,2,0,3505929,3505929,0.0
100,4884,-4885,8.135,2,0,3505929,3505929,0.0
100,4898,-4908,7.895,2,0,3505929,3505929,0.0
100,4875,-4853,7.655,2,0,3505929,3505929,0.0
100,4869,-4922,7.415,4,10000,3507399,3542793,1.574
100,4903,-4880,7.175,4,10000,3517517,3542793,11.264
100,4867,-4897,6.935,4,10000,3537642,3542793,21.927
101,4693,-4701,16.695,6,-10000,3561660,3542793,26.32
101,4827,-4824,16.455,6,-10000,3573437,3542793,11.833
101,4909,-4891,16.215,2,0,3568198,3568198,-6.705
101,4863,-4849,15.975,2,0,3561115,3561115,-7.708
101,4838,-4906,15.735,2,0,3555139,3555139,-5.935
101,4886,-4870,15.495,2,0,3550699,3550699,-4.641
101,4875,-4883,15.255,2,0,3547870,3547870,-2.867
101,4877,-4912,15.015,2,0,3547981,3547981,0.275
101,4928,-4849,14.775,2,0,3548338,3548338,0.395
101,4861,-4889,14.535,2,0,3548341,3548341,-0.017
101,4888,-4883,14.295,2,0,3548340,3548340,-0.002
101,4882,-4891,14.055,2,0,3548340,3548340,0.0
101,4863,-4887,13.815,2,0,3548340,3548340,0.0
101,4930,-4927,13.575,2,0,3548340,3548340,0.0
101,4867,-4839,13.335,2,0,3548348,3548348,0.007
101,4894,-4904,13.095,2,0,3548353,3548353,0.003
101,4886,-4899,12.855,2,0,3548359,3548359,0.002
101,4846,-4876,12.615,2,0,3548365,3548365,0.004
101,4907,-4920,12.375,2,0,3548367,3548367,0.0
101,4926,-4860,12.135,2,0,3548371,3548371,0.001
101,4861,-4887,11.895,2,0,3548371,3548371,0.0
101,4884,-4912,11.655,2,0,3548374,3548374,0.003
101,4884,-4860,11.415,2,0,3548374,3548374,0.0
101,4861,-4910,11.175,2,0,3548376,3548376,0.0
101,4932,-4864,10.935,4,10000,3550055,3585243,1.676
101,4867,-4878,10.695,4,10000,3555186,3585243,14.288
101,4890,-4897,10.455,4,10000,3574768,3585243,21.021
102,4781,-4757,20.215,6,-10000,3602275,3585243,30.365
102,4662,-4644,19.975,6,-10000,3618144,3585243,15.421
102,4838,-4814,19.735,2,0,3618805,3618805,-0.591
102,4854,-4860,19.495,2,0,3613493,3613493,-5.929
102,4867,-4847,19.255,2,0,3611857,3611857,-1.079
102,4921,-4885,19.015,2,0,3604353,3604353,0.787
102,4869,-4901,18.775,2,0,3604578,3604578,0.17
102,4875,-4857,18.536,2,0,3604576,3604576,-0.016
102,4892,-4885,18.296,2,0,3604576,3604576,0.0
102,4905,-4853,18.056,2,0,3604576,3604576,0.0
102,4879,-4885,17.816,2,0,3604576,3604576,0.0
102,4909,-4904,17.576,2,0,3604588,3604588,0.008
102,4852,-4860,17.336,2,0,3604595,3604595,0.002
102,4877,-4906,17.096,2,0,3604602,3604602,0.006
102,4886,-4868,16.856,2,0,3604604,3604604,0.0
102,4871,-4878,16.616,2,0,3604608,3604608,0.004
102,4926,-4872,16.376,2,0,3604608,3604608,0.0
102,4869,-4897,16.136,2,0,3604611,3604611,0.001
102,4877,-4864,15.896,2,0,3604612,3604612,0.0
102,4898,-4887,15.656,2,0,3604612,3604612,0.0
102,4854,-4887,15.416,2,0,3604612,3604612,0.0
102,4926,-4855,15.176,2,0,3604612,3604612,0.0
102,4871,-4880,14.936,2,0,3604615,3604615,0.002
102,4888,-4853,14.696,2,0,3604615,3604615,0.0
102,4905,-4891,14.456,2,0,3604615,3604615,0.0
102,4890,-4899,14.216,2,0,3604615,3604615,0.0
102,4905,-4862,13.976,4,10000,3606272,3641479,1.563
102,4919,-4883,13.736,4,10000,3619582,3641479,14.538
103,4867,-4845,23.496,6,10000,3640106,3641479,22.539
103,4775,-4753,23.256,6,-10000,3663556,3641479,24.679
103,4829,-4826,23.016,6,-10000,3669443,3641479,4.35
103,4697,-4688,22.776,2,0,3663638,3663638,-6.957
103,4829,-4832,22.536,2,0,3657815,3657815,-6.158
103,4888,-4857,22.296,2,0,3653228,3653228,-4.787
103,4875,-4920,22.056,2,0,3649512,3649512,-3.679
103,4879,-4860,21.816,2,0,3647041,3647041,-2.532
103,4894,-4901,21.576,2,0,3645139,3645139,-1.967
103,4871,-4916,21.336,2,0,3643778,3643778,-1.428
103,4907,-4862,21.096,2,0,3643048,3643048,-0.739
103,4869,-4918,20.856,2,0,3642847,3642847,-0.166
103,4903,-4878,20.616,2,0,3642852,3642852,0.011
103,4867,-4887,20.376,2,0,3642854,3642854,0.0
103,4896,-4922,20.136,2,0,3642856,3642856,0.0
103,4873,-4841,19.896,2,0,3642861,3642861,0.004
103,4905,-4908,19.656,2,0,3642861,3642861,0.0
103,4882,-4883,19.416,2,0,3642867,3642867,0.003
103,4879,-4883,19.176,2,0,3642873,3642873,0.005
103,4896,-4916,18.936,2,0,3642875,3642875,0.0
103,4873,-4914,18.696,2,0,3642879,3642879,0.002
103,4907,-4849,18.456,2,0,3642888,3642888,0.007
103,4871,-4904,18.216,2,0,3642932,3642932,0.041
103,4900,-4899,17.976,2,0,3642963,3642963,0.009
103,4896,-4878,17.736,2,0,3642963,3642963,-0.001
103,4879,-4922,17.496,2,0,3642963,3642963,0.0
103,4911,-4847,17.256,2,0,3642963,3642963,0.0
103,4844,-4904,17.016,2,0,3642963,3642963,0.0
103,4888,-4910,16.776,2,0,3642963,3642963,0.0
103,4877,-4870,16.536,2,0,3642963,3642963,0.0
103,4898,-4920,16.296,2,0,3642963,3642963,0.0
103,4871,-4868,16.056,2,0,3642963,3642963,0.0
103,4905,-4887,15.816,2,0,3642963,3642963,0.0
103,4869,-4922,15.576,2,0,3642963,3642963,0.0
103,4900,-4849,15.336,2,0,3642963,3642963,0.0
103,4896,-4853,15.096,2,0,3642963,3642963,0.0
103,4882,-4922,14.856,2,0,3642963,3642963,0.0
103,4911,-4878,14.616,4,10000,3644754,3679827,1.814
103,4844,-4904,14.376,4,10000,3657469,3679827,14.271
104,4848,-4851,24.136,6,10000,3678021,3679827,22.532
104,4762,-4786,23.896,6,-10000,3701623,3679827,25.204
