fric_set,high_freq,key_v,shoot_mode
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,256,2
4900.0,0,256,2
4900.0,0,256,2
4900.0,0,256,2
4900.0,0,256,2
4900.0,0,256,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,256,2
4900.0,0,256,2
4900.0,0,256,2
4900.0,0,256,2
4900.0,0,256,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
4900.0,0,0,2
