evt_dial_neg,evt_dial_pos,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
0,0,1,1,0,0,0.0,3,2,161465,3229343,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161466,3229363,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161467,3229383,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161468,3229403,0,0.0,0
0,0,1,1,0,-5,0.0,3,2,161469,3229423,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161470,3229443,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161471,3229463,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161472,3229483,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161473,3229503,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161474,3229523,0,0.0,0
0,0,1,1,0,-5,0.0,3,2,161475,3229543,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161476,3229563,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161477,3229583,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161478,3229603,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161479,3229623,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161480,3229643,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161481,3229663,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161482,3229683,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161483,3229703,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161484,3229723,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161485,3229743,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161486,3229763,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161487,3229783,0,0.0,0
0,0,1,1,0,2,0.0,3,2,161488,3229803,0,0.0,0
0,0,1,1,0,-5,0.0,3,2,161489,3229823,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161490,3229843,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161491,3229863,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161492,3229883,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161493,3229903,0,0.0,0
0,0,1,1,0,2,0.0,3,2,161494,3229923,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161495,3229943,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161496,3229963,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161497,3229983,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161498,3230003,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161499,3230023,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161500,3230043,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161501,3230063,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161502,3230083,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161503,3230103,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161504,3230123,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161505,3230143,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161506,3230163,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161507,3230183,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161508,3230203,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161509,3230223,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161510,3230243,0,0.0,0
0,0,1,1,0,-5,0.0,3,2,161511,3230263,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161512,3230283,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161513,3230303,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161514,3230323,0,0.0,0
0,0,1,1,0,-5,0.0,3,2,161515,3230343,0,0.0,0
0,0,1,1,0,2,0.0,3,2,161516,3230363,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161517,3230383,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161518,3230403,0,0.0,0
0,0,1,1,-3,-3,0.0,3,2,161519,3230423,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161520,3230443,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161521,3230463,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161522,3230483,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161523,3230503,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161524,3230523,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161525,3230543,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161526,3230563,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161527,3230583,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161528,3230603,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161529,3230623,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161530,3230643,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161531,3230663,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161532,3230683,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161533,3230703,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161534,3230723,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161535,3230743,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161536,3230763,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161537,3230783,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161538,3230803,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161539,3230823,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161540,3230843,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161541,3230863,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161542,3230883,0,0.0,0
0,0,1,1,0,2,0.0,3,2,161543,3230903,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161544,3230923,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161545,3230943,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161546,3230963,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161547,3230983,0,0.0,0
0,0,1,1,0,2,0.0,3,2,161548,3231003,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161549,3231023,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161550,3231043,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161551,3231063,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161552,3231083,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161553,3231103,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161554,3231123,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161555,3231143,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161556,3231163,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161557,3231183,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161558,3231203,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161559,3231223,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161560,3231243,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161561,3231263,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161562,3231283,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161563,3231303,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161564,3231323,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161565,3231343,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161566,3231363,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161567,3231383,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161568,3231403,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161569,3231423,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161570,3231443,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161571,3231463,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161572,3231483,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161573,3231503,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161574,3231523,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161575,3231543,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161576,3231563,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161577,3231583,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161578,3231603,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161579,3231623,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161580,3231643,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161581,3231663,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161582,3231683,0,0.0,0
0,0,1,1,0,-3,0.0,3,2,161583,3231703,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161584,3231723,0,0.0,0
0,0,1,1,0,0,0.0,3,2,161585,3231743,0,0.0,0
